Date,Open,Close,High,Low
2000- 05- 31,"3,414.03","3,324.08","3,458.34","3,322.22"
2000- 06- 01,"3,331.80","3,518.98","3,526.53","3,331.80"
2000- 06- 02,"3,518.98","3,755.67","3,759.81","3,518.98"
2000- 06- 05,"3,742.28","3,730.31","3,817.25","3,688.89"
2000- 06- 06,"3,730.31","3,646.32","3,801.31","3,637.80"
2000- 06- 07,"3,644.46","3,736.01","3,736.15","3,599.53"
2000- 06- 08,"3,737.93","3,707.31","3,791.42","3,671.44"
2000- 06- 09,"3,707.31","3,760.26","3,785.02","3,707.31"
2000- 06- 12,"3,761.15","3,638.42","3,779.74","3,638.31"
2000- 06- 13,"3,638.54","3,765.81","3,766.52","3,582.52"
2000- 06- 14,"3,767.54","3,677.49","3,793.72","3,670.71"
2000- 06- 15,"3,680.67","3,752.01","3,755.72","3,639.18"
2000- 06- 16,"3,758.36","3,787.36","3,817.85","3,732.83"
2000- 06- 19,"3,787.36","3,933.70","3,935.33","3,730.77"
2000- 06- 20,"3,933.70","3,933.83","3,990.21","3,898.28"
2000- 06- 21,"3,928.98","3,970.00","3,981.26","3,867.92"
2000- 06- 22,"3,968.85","3,804.11","3,968.85","3,804.00"
2000- 06- 23,"3,809.40","3,685.30","3,821.95","3,669.40"
2000- 06- 26,"3,685.30","3,771.45","3,840.54","3,685.30"
2000- 06- 27,"3,771.45","3,699.00","3,804.94","3,698.50"
2000- 06- 28,"3,701.11","3,771.06","3,817.50","3,701.11"
2000- 06- 29,"3,764.83","3,665.83","3,764.83","3,634.03"
2000- 06- 30,"3,666.18","3,763.79","3,764.96","3,666.18"
2000- 07- 03,"3,763.79","3,804.78","3,811.59","3,744.63"
2000- 07- 05,"3,804.96","3,649.80","3,804.96","3,646.46"
2000- 07- 06,"3,648.13","3,793.48","3,793.90","3,610.27"
2000- 07- 07,"3,793.01","3,841.27","3,884.84","3,781.56"
2000- 07- 10,"3,841.51","3,772.20","3,841.51","3,767.56"
2000- 07- 11,"3,772.61","3,744.53","3,835.02","3,720.02"
2000- 07- 12,"3,810.36","3,901.12","3,909.41","3,792.98"
2000- 07- 13,"3,901.12","3,956.67","3,991.87","3,900.23"
2000- 07- 14,"3,962.82","4,041.15","4,051.90","3,962.68"
2000- 07- 17,"4,041.15","4,061.88","4,089.04","4,007.62"
2000- 07- 18,"4,060.31","3,960.96","4,060.31","3,949.85"
2000- 07- 19,"3,960.96","3,843.98","3,960.96","3,835.12"
2000- 07- 20,"3,843.98","3,995.46","3,999.06","3,843.98"
2000- 07- 21,"3,992.83","3,908.75","3,992.83","3,892.25"
2000- 07- 24,"3,908.75","3,790.62","3,966.83","3,787.29"
2000- 07- 25,"3,790.62","3,865.39","3,871.64","3,762.00"
2000- 07- 26,"3,865.33","3,818.28","3,865.33","3,741.84"
2000- 07- 27,"3,816.49","3,681.63","3,816.49","3,680.78"
2000- 07- 28,"3,689.69","3,477.31","3,716.95","3,452.95"
2000- 07- 31,"3,477.53","3,609.35","3,610.95","3,437.59"
2000- 08- 01,"3,609.35","3,521.15","3,609.35","3,518.61"
2000- 08- 02,"3,521.15","3,490.34","3,617.25","3,486.46"
2000- 08- 03,"3,490.34","3,623.50","3,625.64","3,341.83"
2000- 08- 04,"3,624.17","3,618.63","3,715.57","3,577.13"
2000- 08- 07,"3,618.63","3,710.39","3,726.90","3,618.63"
2000- 08- 08,"3,708.95","3,686.37","3,741.51","3,671.75"
2000- 08- 09,"3,708.63","3,693.04","3,780.43","3,691.70"
2000- 08- 10,"3,687.69","3,595.19","3,690.61","3,594.80"
2000- 08- 11,"3,595.15","3,644.61","3,645.77","3,521.53"
2000- 08- 14,"3,644.63","3,719.61","3,720.81","3,616.71"
2000- 08- 15,"3,718.70","3,722.62","3,761.56","3,691.27"
2000- 08- 16,"3,722.62","3,721.25","3,791.22","3,704.51"
2000- 08- 17,"3,721.25","3,830.59","3,839.76","3,716.67"
2000- 08- 18,"3,830.59","3,807.51","3,868.74","3,799.97"
2000- 08- 21,"3,809.86","3,827.62","3,878.67","3,785.20"
2000- 08- 22,"3,832.10","3,827.89","3,898.12","3,827.30"
2000- 08- 23,"3,818.06","3,896.92","3,899.96","3,760.12"
