Date,Open,Close,High,Low
2000- 01- 03,"11,501.85","11,357.51","11,522.01","11,305.69"
2000- 01- 04,"11,349.75","10,997.94","11,350.06","10,986.45"
2000- 01- 05,"10,989.37","11,122.66","11,215.10","10,938.67"
2000- 01- 06,"11,113.37","11,253.27","11,313.45","11,098.45"
2000- 01- 07,"11,247.06","11,522.56","11,528.14","11,239.92"
2000- 01- 10,"11,247.06","11,572.20","11,638.28","11,532.48"
2000- 01- 11,"11,568.47","11,511.09","11,663.10","11,502.70"
2000- 01- 12,"11,568.47","11,551.11","11,612.53","11,505.18"
2000- 01- 13,"11,558.24","11,582.44","11,656.58","11,524.11"
2000- 01- 14,"11,619.35","11,722.98","11,750.28","11,612.53"
2000- 01- 18,"11,719.19","11,560.73","11,720.12","11,546.45"
2000- 01- 19,"11,535.24","11,489.37","11,574.68","11,456.01"
2000- 01- 20,"11,490.29","11,351.30","11,558.70","11,274.98"
2000- 01- 21,"11,356.26","11,251.72","11,387.60","11,232.48"
2000- 01- 24,"11,251.94","11,008.17","11,366.50","10,917.27"
2000- 01- 25,"11,010.96","11,029.89","11,079.52","10,883.45"
2000- 01- 26,"11,025.85","11,032.99","11,131.03","11,002.58"
2000- 01- 27,"11,035.55","11,028.03","11,164.14","10,915.40"
2000- 01- 28,"11,024.92","10,738.88","11,024.92","10,735.77"
2000- 01- 31,"10,735.77","10,940.54","10,956.67","10,701.64"
2000- 02- 01,"10,937.74","11,041.06","11,073.32","10,907.96"
2000- 02- 02,"11,037.64","11,003.21","11,118.93","10,987.07"
2000- 02- 03,"11,010.48","11,013.45","11,079.52","10,842.26"
2000- 02- 04,"11,014.37","10,963.81","11,089.45","10,943.02"
2000- 02- 07,"10,965.97","10,905.79","10,970.94","10,846.22"
2000- 02- 08,"10,904.26","10,957.61","11,023.06","10,904.26"
2000- 02- 09,"10,948.82","10,699.17","10,948.82","10,698.85"
2000- 02- 10,"10,697.92","10,643.64","10,738.25","10,606.40"
2000- 02- 11,"10,638.64","10,425.22","10,638.64","10,356.96"
2000- 02- 14,"10,431.65","10,519.85","10,549.00","10,430.80"
2000- 02- 15,"10,520.15","10,718.10","10,763.07","10,494.48"
2000- 02- 16,"10,711.82","10,561.42","10,741.67","10,561.41"
2000- 02- 17,"10,565.76","10,514.57","10,671.86","10,454.61"
2000- 02- 18,"10,514.57","10,219.53","10,517.75","10,199.98"
2000- 02- 22,"10,219.83","10,304.85","10,336.79","10,103.80"
2000- 02- 23,"10,294.82","10,225.73","10,338.35","10,164.92"
2000- 02- 24,"10,242.48","10,092.64","10,248.06","9,942.78"
2000- 02- 25,"10,090.77","9,862.12","10,132.42","9,836.06"
2000- 02- 28,"9,854.66","10,038.66","10,156.54","9,842.57"
2000- 02- 29,"10,039.58","10,128.31","10,204.94","10,029.96"
2000- 03- 01,"10,128.11","10,137.93","10,186.33","10,084.56"
2000- 03- 02,"10,135.44","10,164.92","10,212.39","10,103.49"
2000- 03- 03,"10,171.12","10,367.20","10,443.52","10,171.12"
2000- 03- 06,"10,358.96","10,170.51","10,383.95","10,121.48"
2000- 03- 07,"10,197.61","9,796.04","10,229.14","9,752.68"
2000- 03- 08,"9,800.69","9,856.54","9,918.89","9,731.81"
2000- 03- 09,"9,855.29","10,010.73","10,010.73","9,738.95"
2000- 03- 10,"10,008.55","9,928.83","10,091.39","9,907.26"
2000- 03- 13,"9,911.22","9,947.13","9,998.55","9,735.54"
2000- 03- 14,"9,957.67","9,811.24","10,043.30","9,811.24"
2000- 03- 15,"9,808.15","10,131.42","10,180.20","9,776.49"
2000- 03- 16,"10,139.58","10,630.61","10,632.46","10,138.34"
2000- 03- 17,"10,629.98","10,595.24","10,763.38","10,567.31"
2000- 03- 20,"10,594.75","10,680.25","10,727.71","10,586.99"
2000- 03- 21,"10,680.24","10,907.35","10,907.34","10,603.61"
2000- 03- 22,"10,916.96","10,866.70","10,917.27","10,789.13"
2000- 03- 23,"10,884.38","11,119.86","11,136.61","10,831.02"
2000- 03- 24,"11,107.45","11,112.73","11,234.65","11,045.09"
2000- 03- 27,"11,093.25","11,025.86","11,170.82","10,982.73"
2000- 03- 28,"11,023.68","10,936.12","11,094.34","10,932.78"
2000- 03- 29,"10,939.05","11,018.72","11,101.55","10,910.75"
2000- 03- 30,"11,008.17","10,980.25","11,144.06","10,916.34"
2000- 03- 31,"10,993.28","10,921.93","11,107.76","10,921.92"
2000- 04- 03,"10,863.28","11,221.94","11,223.79","10,862.97"
