Date,Open,Close,High,Low
2001- 01- 05,"13,763.22","13,867.61","13,947.06","13,725.46"
2001- 01- 09,"13,732.85","13,610.51","13,732.85","13,460.82"
2001- 01- 10,"13,593.16","13,432.65","13,593.16","13,349.15"
2001- 01- 11,"13,433.09","13,201.07","13,436.61","13,123.81"
2001- 01- 12,"13,246.20","13,347.74","13,451.95","13,246.20"
2001- 01- 15,"13,450.28","13,506.23","13,573.55","13,441.52"
2001- 01- 16,"13,561.73","13,584.45","13,598.20","13,442.09"
2001- 01- 17,"13,593.83","13,667.63","13,688.90","13,476.55"
2001- 01- 18,"13,734.79","13,873.92","13,931.91","13,723.21"
2001- 01- 19,"13,956.34","13,989.12","14,186.62","13,947.92"
2001- 01- 22,"14,010.07","14,032.42","14,039.40","13,841.03"
2001- 01- 23,"13,966.64","13,984.66","14,060.23","13,913.10"
2001- 01- 24,"14,020.61","13,893.58","14,034.11","13,857.83"
2001- 01- 25,"13,879.83","13,803.38","13,879.83","13,730.17"
2001- 01- 26,"13,726.98","13,696.06","13,750.23","13,626.05"
2001- 01- 29,"13,724.26","13,845.28","13,908.40","13,721.86"
2001- 01- 30,"13,885.27","13,826.65","13,910.71","13,713.55"
2001- 01- 31,"13,855.74","13,843.55","13,855.74","13,726.51"
2001- 02- 01,"13,740.92","13,779.55","13,779.55","13,667.93"
2001- 02- 02,"13,764.69","13,703.63","13,862.29","13,703.63"
2001- 02- 05,"13,588.64","13,385.52","13,588.64","13,367.91"
2001- 02- 06,"13,316.25","13,269.85","13,379.44","13,240.37"
2001- 02- 07,"13,273.93","13,366.01","13,373.78","13,268.61"
2001- 02- 08,"13,336.34","13,138.23","13,336.34","12,966.83"
2001- 02- 09,"13,140.61","13,422.83","13,460.39","13,135.02"
2001- 02- 13,"13,431.72","13,274.70","13,461.11","13,247.95"
2001- 02- 14,"13,179.27","13,284.06","13,405.52","13,119.34"
2001- 02- 15,"13,273.91","13,327.39","13,416.55","13,273.67"
2001- 02- 16,"13,348.72","13,175.49","13,349.08","13,166.46"
2001- 02- 19,"13,060.20","13,119.59","13,137.10","12,950.74"
2001- 02- 20,"13,092.36","13,248.36","13,248.36","13,073.24"
2001- 02- 21,"13,181.50","13,100.08","13,185.23","13,084.55"
2001- 02- 22,"13,041.72","13,073.36","13,125.34","12,861.33"
2001- 02- 23,"13,054.46","13,246.00","13,272.81","13,048.54"
2001- 02- 26,"13,255.29","13,201.14","13,315.86","13,170.99"
2001- 02- 27,"13,232.86","13,059.86","13,262.22","13,041.33"
2001- 02- 28,"12,987.50","12,883.54","13,040.31","12,784.17"
2001- 03- 01,"12,811.52","12,681.66","12,844.35","12,528.50"
2001- 03- 02,"12,594.46","12,261.80","12,594.46","12,261.80"
2001- 03- 05,"12,285.46","12,322.16","12,389.09","12,133.90"
2001- 03- 06,"12,402.89","12,687.74","12,687.74","12,351.14"
2001- 03- 07,"12,748.56","12,723.89","12,824.19","12,539.75"
2001- 03- 08,"12,694.22","12,650.56","12,756.97","12,584.10"
2001- 03- 09,"12,549.19","12,627.90","12,667.21","12,500.51"
2001- 03- 12,"12,509.67","12,171.37","12,509.67","12,171.37"
2001- 03- 13,"12,044.78","11,819.70","12,044.78","11,710.33"
2001- 03- 14,"11,912.61","11,843.59","12,004.38","11,793.27"
2001- 03- 15,"11,685.64","12,152.83","12,152.83","11,433.88"
2001- 03- 16,"12,169.65","12,232.98","12,374.45","12,071.49"
2001- 03- 19,"12,183.98","12,190.97","12,544.68","12,143.67"
2001- 03- 21,"12,184.32","13,103.94","13,103.94","12,100.97"
2001- 03- 22,"12,982.53","12,853.97","13,237.33","12,853.97"
2001- 03- 23,"12,866.02","13,214.54","13,242.72","12,866.02"
2001- 03- 26,"13,309.72","13,862.31","13,862.31","13,296.98"
2001- 03- 27,"13,766.90","13,638.33","13,829.47","13,536.53"
2001- 03- 28,"13,726.48","13,765.51","13,867.58","13,567.71"
2001- 03- 29,"13,620.07","13,072.36","13,620.07","13,072.36"
2001- 03- 30,"13,203.00","12,999.70","13,457.90","12,992.45"
2001- 04- 02,"13,057.65","12,937.86","13,089.47","12,781.34"
2001- 04- 03,"12,970.67","13,124.47","13,357.96","12,970.67"
2001- 04- 04,"13,043.18","13,242.78","13,242.78","12,874.76"
2001- 04- 05,"13,344.20","13,381.38","13,555.46","13,323.16"
2001- 04- 06,"13,517.70","13,383.76","13,674.58","13,284.79"
2001- 04- 09,"13,304.36","12,841.76","13,304.36","12,841.76"
2001- 04- 10,"12,847.89","12,620.27","12,893.85","12,579.56"
2001- 04- 11,"12,784.64","13,174.93","13,208.65","12,724.47"
2001- 04- 12,"13,205.06","13,352.44","13,452.60","13,126.21"
2001- 04- 13,"13,454.87","13,385.72","13,578.64","13,291.20"
2001- 04- 16,"13,338.92","13,254.89","13,451.02","13,217.64"
2001- 04- 17,"13,179.33","13,067.09","13,203.61","13,019.60"
2001- 04- 18,"13,170.09","13,641.79","13,705.86","13,170.09"
2001- 04- 19,"13,789.47","13,868.28","14,099.49","13,789.47"
2001- 04- 20,"13,855.03","13,765.67","13,999.58","13,686.66"
2001- 04- 23,"13,837.19","13,715.60","14,051.97","13,639.11"
2001- 04- 24,"13,628.10","13,743.18","13,762.95","13,403.27"
2001- 04- 25,"13,799.29","13,827.50","13,920.67","13,769.58"
2001- 04- 26,"13,968.93","13,973.03","14,084.55","13,957.63"
2001- 04- 27,"14,036.26","13,934.32","14,065.48","13,795.05"
2001- 05- 01,"14,096.32","14,425.46","14,425.46","14,096.32"
2001- 05- 02,"14,441.39","14,421.64","14,444.84","14,296.54"
2001- 05- 07,"14,384.14","14,529.41","14,556.11","14,184.85"
2001- 05- 08,"14,420.17","14,289.05","14,420.17","14,227.37"
2001- 05- 09,"14,235.30","14,084.85","14,235.30","13,957.81"
2001- 05- 10,"14,035.50","14,017.79","14,197.09","14,015.70"
2001- 05- 11,"14,055.09","14,043.92","14,178.32","14,043.92"
2001- 05- 14,"14,041.79","13,873.02","14,041.79","13,828.70"
2001- 05- 15,"13,829.30","14,054.03","14,103.06","13,806.05"
2001- 05- 16,"14,050.63","13,694.27","14,050.63","13,694.27"
2001- 05- 17,"13,845.49","13,910.67","13,975.12","13,725.25"
2001- 05- 18,"13,931.62","13,877.77","14,067.73","13,877.77"
2001- 05- 21,"13,938.78","14,176.83","14,214.21","13,938.78"
2001- 05- 22,"14,271.70","14,091.19","14,345.42","14,091.19"
2001- 05- 23,"14,012.19","14,067.70","14,205.09","13,990.32"
2001- 05- 24,"13,914.32","13,895.79","13,941.44","13,801.46"
2001- 05- 25,"13,869.53","13,765.92","13,958.35","13,758.66"
2001- 05- 28,"13,732.10","13,737.77","13,820.42","13,701.83"
2001- 05- 29,"13,697.61","13,773.89","13,836.40","13,697.61"
2001- 05- 30,"13,680.77","13,493.35","13,680.77","13,468.73"
2001- 05- 31,"13,394.75","13,262.14","13,419.94","13,216.57"
2001- 06- 01,"13,365.08","13,261.84","13,394.40","13,244.90"
2001- 06- 04,"13,294.21","13,312.35","13,312.35","13,213.65"
2001- 06- 05,"13,232.52","13,182.00","13,256.40","12,984.07"
2001- 06- 06,"13,289.59","13,174.84","13,313.14","13,127.62"
2001- 06- 07,"13,122.58","13,277.51","13,300.50","13,050.17"
2001- 06- 08,"13,324.25","13,430.22","13,510.70","13,320.37"
2001- 06- 11,"13,413.10","13,226.48","13,447.39","13,224.99"
2001- 06- 12,"13,111.64","12,840.10","13,164.19","12,840.10"
2001- 06- 13,"12,883.51","12,823.45","12,970.12","12,803.42"
2001- 06- 14,"12,826.18","12,846.66","12,935.07","12,804.03"
2001- 06- 15,"12,722.38","12,790.38","12,797.87","12,578.78"
2001- 06- 18,"12,766.38","12,697.79","12,787.23","12,656.58"
2001- 06- 19,"12,734.13","12,574.26","12,912.92","12,511.66"
2001- 06- 20,"12,575.35","12,674.64","12,762.09","12,512.13"
2001- 06- 21,"12,776.76","12,962.43","13,005.46","12,727.55"
2001- 06- 22,"13,041.89","13,044.61","13,079.11","12,940.58"
2001- 06- 25,"13,052.96","12,896.47","13,073.49","12,823.45"
2001- 06- 26,"12,856.15","12,978.82","13,026.80","12,837.80"
2001- 06- 27,"12,936.52","12,828.98","12,987.85","12,828.98"
2001- 06- 28,"12,853.65","12,679.88","12,876.56","12,567.26"
2001- 06- 29,"12,843.95","12,969.05","12,985.21","12,819.46"
2001- 07- 02,"12,929.66","12,751.18","12,929.66","12,629.51"
2001- 07- 03,"12,855.50","12,817.41","12,922.15","12,747.05"
2001- 07- 04,"12,801.46","12,629.02","12,801.46","12,584.99"
2001- 07- 05,"12,563.44","12,607.30","12,676.83","12,515.51"
2001- 07- 06,"12,499.30","12,306.08","12,499.30","12,289.61"
2001- 07- 09,"12,191.31","12,239.68","12,239.68","12,029.20"
2001- 07- 10,"12,247.94","12,300.41","12,382.29","12,143.94"
2001- 07- 11,"12,178.25","12,005.11","12,178.25","12,005.11"
2001- 07- 12,"12,133.05","12,407.95","12,407.95","12,133.05"
2001- 07- 13,"12,417.56","12,355.15","12,444.56","12,294.04"
2001- 07- 16,"12,408.39","12,343.37","12,408.39","12,263.45"
2001- 07- 17,"12,215.47","12,128.57","12,224.71","12,102.94"
2001- 07- 18,"12,121.41","11,892.58","12,135.31","11,847.73"
2001- 07- 19,"11,898.11","11,908.39","11,980.25","11,863.12"
2001- 07- 23,"11,902.23","11,609.63","11,902.23","11,531.68"
2001- 07- 24,"11,608.86","11,883.25","11,883.25","11,562.38"
2001- 07- 25,"11,823.10","11,891.61","12,054.30","11,760.97"
2001- 07- 26,"11,914.34","11,858.56","11,962.73","11,822.77"
2001- 07- 27,"11,862.41","11,798.08","11,948.20","11,706.47"
2001- 07- 30,"11,846.00","11,579.27","11,868.14","11,539.16"
2001- 07- 31,"11,656.65","11,860.77","11,877.84","11,656.65"
2001- 08- 01,"11,920.64","11,959.33","11,972.25","11,817.76"
2001- 08- 02,"12,072.11","12,399.20","12,407.37","12,060.50"
2001- 08- 03,"12,336.51","12,241.97","12,365.88","12,241.27"
2001- 08- 06,"12,170.11","12,243.90","12,327.23","12,095.11"
2001- 08- 07,"12,154.72","12,319.46","12,388.61","12,079.55"
2001- 08- 08,"12,265.24","12,163.67","12,293.39","12,129.37"
2001- 08- 09,"12,036.99","11,754.56","12,043.05","11,754.56"
2001- 08- 10,"11,683.22","11,735.06","11,870.91","11,683.22"
2001- 08- 13,"11,697.12","11,477.56","11,697.12","11,417.70"
2001- 08- 14,"11,587.04","11,917.95","11,936.75","11,587.04"
2001- 08- 15,"11,812.00","11,755.40","11,823.92","11,648.86"
2001- 08- 16,"11,645.30","11,515.02","11,645.30","11,450.77"
2001- 08- 17,"11,537.69","11,445.54","11,581.25","11,412.36"
2001- 08- 20,"11,347.24","11,257.94","11,358.09","11,239.45"
2001- 08- 21,"11,317.13","11,280.38","11,370.61","11,159.27"
2001- 08- 22,"11,220.25","11,396.43","11,504.06","11,202.67"
2001- 08- 23,"11,414.99","11,126.92","11,414.99","11,104.18"
2001- 08- 24,"11,190.54","11,166.31","11,230.14","11,075.42"
2001- 08- 27,"11,273.96","11,275.01","11,366.18","11,273.96"
2001- 08- 28,"11,255.68","11,189.40","11,267.95","11,049.86"
2001- 08- 29,"11,087.15","10,979.76","11,142.31","10,973.27"
2001- 08- 30,"10,918.54","10,938.45","10,969.06","10,807.75"
2001- 08- 31,"10,811.37","10,713.51","10,860.70","10,684.16"
2001- 09- 03,"10,729.60","10,409.68","10,758.90","10,409.68"
2001- 09- 04,"10,413.71","10,772.59","10,772.59","10,325.83"
2001- 09- 05,"10,679.53","10,598.79","10,679.53","10,452.98"
2001- 09- 06,"10,575.26","10,650.33","10,812.89","10,509.68"
2001- 09- 07,"10,541.86","10,516.79","10,566.65","10,405.80"
2001- 09- 10,"10,395.10","10,195.69","10,457.09","10,195.69"
2001- 09- 11,"10,244.55","10,292.95","10,344.58","10,207.03"
2001- 09- 12,"10,140.42","9,610.10","10,140.42","9,600.84"
2001- 09- 13,"9,663.93","9,613.09","9,682.63","9,476.87"
2001- 09- 14,"9,625.26","10,008.89","10,009.45","9,580.34"
2001- 09- 17,"9,881.06","9,504.41","9,881.06","9,447.76"
2001- 09- 18,"9,623.98","9,679.88","9,945.80","9,623.98"
2001- 09- 19,"9,682.52","9,939.60","10,061.10","9,681.79"
2001- 09- 20,"9,837.17","9,785.16","9,842.16","9,688.12"
2001- 09- 21,"9,658.19","9,554.99","9,658.19","9,382.95"
2001- 09- 25,"9,637.60","9,693.97","9,867.86","9,593.07"
2001- 09- 26,"9,687.51","9,641.70","9,697.12","9,551.73"
2001- 09- 27,"9,601.07","9,696.53","9,727.30","9,585.81"
2001- 09- 28,"9,783.80","9,774.68","9,933.69","9,737.42"
2001- 10- 01,"9,766.75","9,972.28","9,972.28","9,604.09"
2001- 10- 02,"9,937.81","10,136.56","10,136.56","9,871.94"
2001- 10- 03,"10,194.73","9,924.23","10,221.82","9,924.23"
2001- 10- 04,"10,038.61","10,205.48","10,215.89","10,038.61"
2001- 10- 05,"10,165.45","10,205.87","10,261.86","10,039.51"
2001- 10- 09,"10,143.39","10,011.77","10,143.39","10,011.77"
2001- 10- 10,"9,995.43","9,964.88","10,030.22","9,934.00"
2001- 10- 11,"10,074.51","10,347.01","10,347.01","10,052.08"
2001- 10- 12,"10,474.35","10,632.35","10,632.35","10,421.57"
2001- 10- 15,"10,545.25","10,452.54","10,545.25","10,447.99"
2001- 10- 16,"10,433.90","10,637.82","10,694.06","10,412.25"
2001- 10- 17,"10,672.00","10,755.45","10,790.03","10,563.52"
2001- 10- 18,"10,654.53","10,474.85","10,668.69","10,474.85"
2001- 10- 19,"10,472.44","10,538.79","10,595.97","10,437.80"
2001- 10- 23,"10,685.35","10,861.56","10,861.56","10,649.59"
2001- 10- 24,"10,811.68","10,802.15","10,960.91","10,771.63"
2001- 10- 25,"10,847.10","10,880.10","11,052.01","10,838.60"
2001- 10- 26,"10,951.88","10,795.16","11,020.50","10,774.29"
2001- 10- 29,"10,779.19","10,612.31","10,798.08","10,612.31"
2001- 10- 30,"10,522.82","10,512.82","10,538.79","10,416.44"
2001- 10- 31,"10,443.65","10,366.34","10,478.51","10,366.34"
2001- 11- 01,"10,430.59","10,347.28","10,498.39","10,318.17"
2001- 11- 02,"10,460.61","10,383.78","10,538.45","10,322.28"
2001- 11- 05,"10,427.35","10,447.54","10,447.54","10,345.28"
2001- 11- 06,"10,518.02","10,633.72","10,633.72","10,494.89"
2001- 11- 07,"10,607.35","10,284.98","10,632.49","10,284.98"
2001- 11- 08,"10,345.49","10,431.79","10,431.79","10,269.97"
2001- 11- 09,"10,412.62","10,215.71","10,412.62","10,213.01"
2001- 11- 12,"10,225.59","10,081.56","10,260.70","10,081.56"
2001- 11- 13,"10,035.65","10,030.56","10,057.74","9,955.09"
2001- 11- 14,"10,120.16","10,086.76","10,231.16","10,076.59"
2001- 11- 15,"10,159.38","10,489.89","10,489.89","10,142.42"
2001- 11- 16,"10,488.70","10,649.09","10,850.48","10,454.20"
2001- 11- 19,"10,643.33","10,727.94","10,849.19","10,618.69"
2001- 11- 20,"10,779.58","10,575.62","10,779.58","10,555.44"
2001- 11- 21,"10,530.29","10,661.08","10,789.18","10,490.60"
2001- 11- 22,"10,617.44","10,696.82","10,702.34","10,529.21"
2001- 11- 26,"10,797.12","11,064.30","11,067.92","10,797.12"
2001- 11- 27,"11,012.85","10,948.89","11,186.75","10,948.89"
2001- 11- 28,"10,862.24","10,624.81","10,900.31","10,624.81"
2001- 11- 29,"10,607.45","10,655.96","10,668.73","10,512.66"
2001- 11- 30,"10,659.87","10,697.44","10,697.90","10,550.66"
2001- 12- 03,"10,694.65","10,370.62","10,695.04","10,370.62"
2001- 12- 04,"10,414.94","10,452.65","10,478.47","10,326.52"
2001- 12- 05,"10,549.39","10,713.81","10,724.64","10,523.22"
2001- 12- 06,"10,830.86","10,857.28","11,052.51","10,813.79"
2001- 12- 07,"10,833.30","10,796.89","10,918.19","10,762.97"
2001- 12- 10,"10,736.12","10,571.01","10,738.39","10,571.01"
2001- 12- 11,"10,523.86","10,473.91","10,606.92","10,467.61"
2001- 12- 12,"10,490.07","10,801.52","10,821.13","10,490.07"
2001- 12- 13,"10,721.61","10,433.45","10,731.81","10,433.45"
2001- 12- 14,"10,465.23","10,511.65","10,603.71","10,379.59"
2001- 12- 17,"10,482.40","10,323.35","10,484.38","10,302.97"
2001- 12- 18,"10,422.16","10,432.17","10,582.07","10,330.58"
2001- 12- 19,"10,393.04","10,471.93","10,500.44","10,347.18"
2001- 12- 20,"10,485.80","10,434.52","10,501.98","10,346.40"
2001- 12- 21,"10,394.73","10,335.45","10,418.59","10,253.72"
2001- 12- 25,"10,359.22","10,254.81","10,359.22","10,178.87"
2001- 12- 26,"10,273.05","10,192.57","10,300.63","10,170.90"
2001- 12- 27,"10,213.32","10,457.61","10,457.61","10,176.31"
2001- 12- 28,"10,498.80","10,542.62","10,571.75","10,427.62"
2002- 01- 04,"10,631.00","10,871.49","10,871.49","10,617.08"
2002- 01- 07,"10,803.45","10,942.36","10,979.92","10,803.45"
2002- 01- 08,"10,841.97","10,695.60","10,843.26","10,662.25"
2002- 01- 09,"10,661.25","10,663.98","10,747.60","10,638.43"
2002- 01- 10,"10,652.17","10,538.43","10,710.48","10,494.35"
2002- 01- 11,"10,536.25","10,441.59","10,571.50","10,441.59"
2002- 01- 15,"10,359.44","10,208.05","10,359.44","10,208.05"
2002- 01- 16,"10,172.16","10,177.58","10,269.03","10,096.34"
2002- 01- 17,"10,184.95","10,128.18","10,257.45","10,074.45"
2002- 01- 18,"10,165.16","10,293.32","10,296.79","10,151.43"
2002- 01- 21,"10,252.43","10,280.25","10,393.56","10,169.80"
2002- 01- 22,"10,225.52","10,050.98","10,280.30","10,050.98"
2002- 01- 23,"10,063.92","10,040.91","10,154.82","10,040.91"
2002- 01- 24,"10,089.25","10,074.05","10,240.39","10,012.80"
2002- 01- 25,"10,133.59","10,144.14","10,149.87","10,017.48"
2002- 01- 28,"10,190.28","10,220.85","10,303.74","10,156.19"
2002- 01- 29,"10,191.75","10,026.03","10,191.75","10,026.03"
2002- 01- 30,"9,921.73","9,919.48","9,938.33","9,843.12"
2002- 01- 31,"9,962.35","9,997.80","10,012.15","9,896.84"
2002- 02- 01,"10,026.96","9,791.43","10,032.25","9,735.05"
2002- 02- 04,"9,808.82","9,631.93","9,808.82","9,623.99"
2002- 02- 05,"9,577.17","9,475.60","9,683.93","9,473.46"
2002- 02- 06,"9,494.62","9,420.85","9,602.52","9,420.85"
2002- 02- 07,"9,481.09","9,583.27","9,634.79","9,458.70"
2002- 02- 08,"9,564.75","9,686.06","9,753.75","9,538.45"
2002- 02- 12,"9,816.96","9,877.99","9,949.73","9,816.96"
2002- 02- 13,"9,901.89","9,968.35","10,039.25","9,865.75"
2002- 02- 14,"10,014.18","10,081.09","10,235.38","10,014.18"
2002- 02- 15,"10,098.23","10,048.10","10,152.00","10,025.55"
2002- 02- 18,"10,021.55","10,093.25","10,119.21","9,980.89"
2002- 02- 19,"10,113.69","9,847.16","10,129.34","9,847.16"
2002- 02- 20,"9,783.16","9,834.13","9,901.24","9,773.95"
2002- 02- 21,"9,913.85","10,295.42","10,295.42","9,895.45"
2002- 02- 22,"10,219.85","10,356.78","10,418.64","10,165.72"
2002- 02- 25,"10,394.73","10,296.47","10,446.28","10,289.83"
2002- 02- 26,"10,405.46","10,202.63","10,458.87","10,183.52"
2002- 02- 27,"10,268.87","10,573.09","10,573.09","10,268.87"
2002- 02- 28,"10,634.93","10,587.83","10,798.67","10,587.83"
2002- 03- 01,"10,641.36","10,812.00","10,813.45","10,540.31"
2002- 03- 04,"10,942.50","11,450.22","11,450.22","10,941.36"
2002- 03- 05,"11,529.21","11,348.45","11,602.75","11,348.45"
2002- 03- 06,"11,375.87","11,358.53","11,648.38","11,358.53"
2002- 03- 07,"11,473.63","11,648.34","11,690.36","11,472.88"
2002- 03- 08,"11,710.20","11,885.79","12,010.25","11,634.31"
2002- 03- 11,"11,941.92","11,919.30","12,034.04","11,772.86"
2002- 03- 12,"11,863.71","11,607.33","11,912.29","11,607.33"
2002- 03- 13,"11,548.24","11,415.31","11,774.18","11,415.31"
2002- 03- 14,"11,471.83","11,568.82","11,568.82","11,347.25"
2002- 03- 15,"11,594.87","11,648.01","11,709.44","11,537.89"
2002- 03- 18,"11,745.81","11,498.38","11,789.46","11,477.68"
2002- 03- 19,"11,597.86","11,792.82","11,792.82","11,597.86"
2002- 03- 20,"11,833.97","11,526.78","11,833.97","11,503.79"
2002- 03- 22,"11,460.95","11,345.08","11,519.68","11,326.22"
2002- 03- 25,"11,339.06","11,261.09","11,378.78","11,166.92"
2002- 03- 26,"11,214.25","11,207.92","11,524.23","11,165.00"
2002- 03- 27,"11,251.70","11,323.68","11,421.01","11,190.39"
2002- 03- 28,"11,313.56","11,333.11","11,348.22","11,240.99"
2002- 03- 29,"11,350.35","11,024.94","11,389.60","11,024.94"
2002- 04- 01,"11,106.07","11,028.70","11,148.50","11,007.63"
2002- 04- 02,"11,142.83","11,204.49","11,217.24","11,049.85"
2002- 04- 03,"11,103.72","11,400.71","11,476.94","11,042.25"
2002- 04- 04,"11,430.25","11,379.20","11,537.13","11,336.20"
2002- 04- 05,"11,366.40","11,335.49","11,412.99","11,301.95"
2002- 04- 08,"11,321.28","11,352.89","11,430.03","11,265.18"
2002- 04- 09,"11,337.49","11,114.49","11,363.20","11,113.08"
2002- 04- 10,"11,089.13","11,218.58","11,293.17","11,052.70"
2002- 04- 11,"11,291.38","11,147.27","11,320.67","11,147.27"
2002- 04- 12,"11,069.84","10,962.98","11,122.77","10,896.12"
2002- 04- 15,"11,013.67","11,137.30","11,138.70","10,941.81"
2002- 04- 16,"11,160.91","11,346.66","11,346.66","11,141.27"
2002- 04- 17,"11,422.75","11,543.71","11,544.83","11,403.79"
2002- 04- 18,"11,499.78","11,575.73","11,635.98","11,485.09"
2002- 04- 19,"11,488.50","11,512.01","11,525.88","11,386.72"
2002- 04- 22,"11,555.08","11,721.64","11,765.05","11,555.08"
2002- 04- 23,"11,633.18","11,736.83","11,812.99","11,576.71"
2002- 04- 24,"11,749.32","11,672.88","11,808.25","11,663.71"
2002- 04- 25,"11,691.73","11,648.72","11,708.01","11,583.07"
2002- 04- 26,"11,681.80","11,541.39","11,685.08","11,464.59"
2002- 04- 30,"11,532.57","11,492.54","11,548.78","11,440.66"
2002- 05- 01,"11,540.09","11,552.79","11,591.49","11,528.29"
2002- 05- 02,"11,609.69","11,551.01","11,609.69","11,518.57"
2002- 05- 07,"11,500.13","11,316.04","11,508.58","11,250.86"
2002- 05- 08,"11,356.54","11,520.75","11,581.41","11,356.54"
2002- 05- 09,"11,633.80","11,633.30","11,727.52","11,620.52"
2002- 05- 10,"11,534.73","11,531.11","11,587.43","11,523.84"
2002- 05- 13,"11,473.93","11,336.95","11,473.93","11,309.48"
2002- 05- 14,"11,451.60","11,356.19","11,507.66","11,336.81"
2002- 05- 15,"11,486.06","11,642.97","11,693.91","11,486.06"
2002- 05- 16,"11,671.42","11,738.69","11,747.35","11,579.12"
2002- 05- 17,"11,820.33","11,847.32","11,926.90","11,817.65"
2002- 05- 20,"11,887.80","11,856.54","11,942.91","11,836.22"
2002- 05- 21,"11,803.74","11,801.16","11,824.73","11,765.21"
2002- 05- 22,"11,767.57","11,961.98","11,963.23","11,767.00"
2002- 05- 23,"12,001.28","11,979.85","12,019.86","11,936.87"
