마감 기준:,2021년 12월 31일,2020년 12월 31일,2019년 12월 31일,2018년 12월 31일
총매출,0.71,5.54,24.49,32.86
총 이익,-11.45,-9.47,-12.25,-8.71
영업 이익,-59.45,-29.61,-26.35,-24.4
순이익,-59.2,-40.19,-28.66,-27.98
총 자산,666.48,152.1,93.36,107.03
총부채,119.22,5.72,20.86,18.25
총자본,547.25,146.38,72.5,88.79
영업활동 현금,-43.54,-19.34,-20.84,-15.85
투자활동현금흐름,-411.62,-5.91,-7.46,-2.23
재무활동 현금,512.85,87.28,10.86,40.27
현금순변동,57.7,62.04,-17.43,22.18
