마감 기준:,2021년 12월 31일,2020년 12월 31일,2019년 12월 31일,2018년 12월 31일
총매출,1846.28,1860.45,1704.05,1491.21
총 이익,1375.76,1336.18,1344.58,1175.95
영업 이익,-82.34,-36.77,-100.46,-123.52
순이익,-64.08,859.1,-23.85,-77.21
총 자산,6003.32,5848.02,4690.04,4427.13
총부채,1732.59,1742.02,1567.66,1459.19
총자본,4270.74,4106,3122.38,2967.94
영업활동 현금,304.54,85.36,48.26,20.21
투자활동현금흐름,-366.31,-53.62,-31.03,264.35
재무활동 현금,-0.05,181.12,-74.67,-388.01
현금순변동,-61.88,211.71,-56.54,-104.05
