마감 기준:,2021년 06월 30일,2020년 06월 30일,2019년 06월 30일,2018년 06월 30일
총매출,42411,51068,47529,93266
총 이익,7989,18129,20731,31720
영업 이익,9924,66743,-41710,31857
순이익,-12569,5901,-40248,6106
총 자산,408500,1031784,726034,557674
총부채,369422,993992,701992,520426
총자본,39078,37792,24042,37248
영업활동 현금,-136644,52997,38005,23294
투자활동현금흐름,73657,60547,15849,-31553
재무활동 현금,-54165,-109082,-38654,-4009
현금순변동,-124062,17456,5056,12926
