마감 기준:,2021년 09월 30일,2020년 09월 30일,2019년 09월 30일,2018년 09월 30일
총매출,1671.03,1498.31,1537.28,1602.58
총 이익,541.83,497.77,542.47,584.22
영업 이익,42.03,-64.19,10.3,138.56
순이익,2.91,-87.16,-37.99,107.37
총 자산,2032.08,2072.63,2190.6,2357.74
총부채,1395.53,1461.83,1472.5,1489.39
총자본,636.55,610.81,718.11,868.35
영업활동 현금,162.81,180.45,131.08,147.57
투자활동현금흐름,-12.99,-2.72,-60.76,-162.34
재무활동 현금,-122.85,-172.25,-75.04,0.9
현금순변동,27.01,6.03,-6.27,-15.94
