마감 기준:,2022년 01월 31일,2021년 01월 31일,2020년 01월 31일,2019년 01월 31일
총매출,424.69,348.66,325.79,275.17
총 이익,322.88,258.75,240.07,200.18
영업 이익,103.43,71.4,52.26,41.44
순이익,86.28,52.1,37,31.28
총 자산,1185.43,1063.25,942.59,653.33
총부채,185.61,152.19,120.88,119.83
총자본,999.82,911.07,821.71,533.51
영업활동 현금,176.14,131.23,104.25,78.07
투자활동현금흐름,-95.11,-52.16,-296.95,-73.18
재무활동 현금,1.52,5.56,210.17,-11.38
현금순변동,79.78,89.26,17.11,-7.85
