마감 기준:,2021년 12월 31일,2020년 12월 31일,2019년 12월 31일,2018년 12월 31일
총매출,4.06,3.62,3.53,3.88
총 이익,1.26,1.01,1.08,0.02
영업 이익,-0.46,0.87,-1.25,0.64
순이익,-0.73,-1.04,-1.15,0.96
총 자산,30.99,31.24,34.8,35.79
총부채,1.6,1.3,1.56,1.19
총자본,29.39,29.93,33.24,34.6
영업활동 현금,-0.32,0.3,-1.23,-1.07
투자활동현금흐름,0.64,4.54,-0.57,0.83
재무활동 현금,-0.19,-2.45,-0.73,-0.08
현금순변동,0.13,2.25,-2.53,-0.32
