마감 기준:,2021년 12월 31일,2020년 12월 31일,2019년 12월 31일,2018년 12월 31일
총매출,521.13,513.51,562.3,412.2
순이익,120.99,121.17,165.18,121.62
총 자산,20423.4,13204.3,11395.17,8851.59
총부채,17404.96,11501.62,9687.02,7778.1
총자본,3018.45,1702.68,1708.14,1073.49
영업활동 현금,190.22,64.64,216.52,141.84
투자활동현금흐름,-63.14,-488.21,20.16,-387.51
재무활동 현금,816.96,1569.24,-336.16,283.01
현금순변동,944.05,1145.66,-99.48,37.34
