마감 기준:,2021년 07월 02일,2020년 07월 03일,2019년 06월 28일,2018년 06월 29일
총매출,16922,16736,16569,20647
총 이익,4573,3849,3897,7705
영업 이익,1220,335,87,3617
순이익,821,-250,-754,675
총 자산,26132,25662,26370,29235
총부채,15411,16111,16403,17704
총자본,10721,9551,9967,11531
영업활동 현금,1898,824,1547,4205
투자활동현금흐름,-765,278,-1272,-1655
재무활동 현금,-817,-1508,-1829,-3900
현금순변동,322,-407,-1550,-1349
