마감 기준:,2021년 08월 28일,2020년 08월 29일,2019년 08월 31일,2018년 08월 25일
총매출,1005.61,816.64,523.76,431.43
총 이익,409.77,324.33,217.68,180.37
영업 이익,178.68,78.22,72.67,64.73
순이익,40.88,65.64,-25.23,70.45
총 자산,2052.22,2008.44,1141.65,974.61
총부채,863.41,869.11,428.78,302
총자본,1188.8,1139.33,712.87,672.6
영업활동 현금,132.09,58.92,73.04,61.04
투자활동현금흐름,-2.51,-983.99,-1.79,-3.51
재무활동 현금,-150.05,754.65,83.38,-1.59
현금순변동,-20.5,-170.49,154.37,55.47
