마감 기준:,2021년 12월 31일,2020년 12월 31일,2019년 12월 31일,2018년 12월 31일
총매출,213.03,195.23,181.71,152.59
순이익,57.71,32.74,40.08,33.72
총 자산,5328.94,4729.4,3763.66,3221.52
총부채,4886.09,4313.26,3458.69,2958.69
총자본,442.85,416.14,304.97,262.83
영업활동 현금,58.92,28.76,52.04,43.77
투자활동현금흐름,-409.76,-168.68,-368.74,-451.59
재무활동 현금,550.34,479.64,464.11,418.04
현금순변동,199.5,339.72,147.41,10.22
