마감 기준:,2021년 12월 31일,2020년 12월 31일,2019년 12월 31일,2018년 12월 31일
총매출,24.91,21.36,37.68,42.67
총 이익,10.26,4.89,16.44,20.62
영업 이익,-0.76,-6.07,3,7.61
순이익,-0.67,-3.86,1.54,4.58
총 자산,21.55,24,27.53,24.97
총부채,9.31,11.49,10.71,6.23
총자본,12.24,12.51,16.82,18.75
영업활동 현금,0.41,-4.08,4.31,7.93
투자활동현금흐름,-0.22,-0.86,2.08,-5.36
재무활동 현금,-1.03,0.5,-3,-5.64
현금순변동,-0.84,-4.45,3.21,-4.1
