마감 기준:,2021년 12월 31일,2020년 12월 31일,2019년 12월 31일,2018년 12월 31일
총매출,157.17,17.81,48.84,20.65
총 이익,149.91,16.14,44.73,20.18
영업 이익,-121.88,-176.77,-99.45,-94.22
순이익,-184.06,-182.81,-108.9,-101.25
총 자산,588.15,334.71,175.28,146.84
총부채,695.14,353.98,137.03,97.61
총자본,-106.99,-19.26,38.25,49.23
영업활동 현금,-142.16,-135.11,-89.58,-92.56
투자활동현금흐름,15.8,-6.86,77.93,4.77
재무활동 현금,359.67,300.59,99.1,62.5
현금순변동,233.39,158.62,87.45,-25.29
