마감 기준:,2021년 12월 31일,2020년 12월 31일,2019년 12월 31일,2018년 12월 31일
총매출,103.77,86.92,83.75,78.14
총 이익,37.07,33.68,36.65,33.33
영업 이익,1.6,-3.45,-0.11,-3.23
순이익,1.62,-5.11,-1.15,-4.71
총 자산,96.66,78.68,74.32,66.31
총부채,22.15,44.49,38.85,32.44
총자본,74.51,34.19,35.47,33.87
영업활동 현금,1.23,-1.77,0.43,-5.2
투자활동현금흐름,-1.48,-1.56,-1.48,-3.37
재무활동 현금,19.34,4.85,-0.23,0.81
현금순변동,18.4,2.03,-1.48,-8.19
