마감 기준:,2021년 12월 31일,2020년 12월 31일,2019년 12월 31일,2018년 12월 31일
총매출,417.73,351.59,370.79,349.64
총 이익,219.24,186.54,197.35,189.54
영업 이익,11.99,20.55,9.07,9.21
순이익,9.41,15.11,7.22,6.21
총 자산,256.16,256.3,204.43,197.14
총부채,123.15,133.88,96.43,97.97
총자본,133.01,122.42,108,99.17
영업활동 현금,5.45,32.53,9.2,20.3
투자활동현금흐름,-41.19,-3.99,-2.03,-7.83
재무활동 현금,10.66,-5.77,-13.89,-4.49
현금순변동,-25.01,23.09,-6.39,7.47
