마감 기준:,2021년 12월 31일,2020년 12월 31일,2019년 12월 31일,2018년 12월 31일
총매출,3148,2268.2,3452.6,3497.5
총 이익,142.9,210.1,451.7,436.7
영업 이익,-85.6,-71.9,79.1,60.6
순이익,-260.1,-149,-43.6,-55.1
총 자산,2127.9,1808.3,1857.8,2087.5
총부채,2513,1936.9,1836.2,2021.8
총자본,-385.1,-128.6,21.6,65.7
영업활동 현금,-44,62.8,191.9,75.2
투자활동현금흐름,-82.8,-46.3,14.5,8.3
재무활동 현금,139.3,73.8,-343,-442.1
현금순변동,12.5,90.3,-136.6,-358.6
