마감 기준:,2021년 12월 31일,2020년 12월 31일,2019년 12월 31일,2018년 12월 31일
총매출,87606.03,73667.13,59241.14,51178.57
총 이익,46970.8,38983.4,31555.3,27346.15
영업 이익,16397.87,14482.81,13790.65,9977.34
순이익,16856.84,12062.75,21237.52,6152.41
총 자산,153643.92,141874.58,112124.37,86967.93
총부채,58315.84,59747.78,50670.67,41736.29
총자본,95328.08,82126.8,61453.7,45231.64
영업활동 현금,24926.73,24888.17,17216.46,13415.88
투자활동현금흐름,-7078.29,-29192.41,-22136.74,-13569.51
재무활동 현금,-12585.57,9913.09,1082.53,1587.42
현금순변동,5207.51,5770.74,-3808.68,1515.29
