마감 기준:,2021년 12월 31일,2020년 12월 31일,2019년 12월 31일,2018년 12월 31일
총매출,5.49,6.88,6.64,7.1
총 이익,2.91,3.92,3.58,3.52
영업 이익,-3.97,-2.15,-3.02,-4.82
순이익,-3.42,-1.29,-1.66,-3.19
총 자산,55.52,57.02,59.22,61.45
총부채,4.67,2.93,3.68,3.27
총자본,50.85,54.1,55.54,58.17
영업활동 현금,-4.13,-2.08,-1.57,-3.91
투자활동현금흐름,-0.02,-10.04,-0.07,-0.09
재무활동 현금,,0,0,0
현금순변동,-4.24,-12.27,-1.55,-4.35
