마감 기준:,2021년 12월 31일,2020년 12월 31일,2019년 12월 31일,2018년 12월 31일
총매출,6.81,7.01,7.34,7.22
총 이익,,,,
영업 이익,4.41,4.21,4.48,4.2
순이익,4.42,4.23,4.49,4.2
총 자산,67.21,59.84,54.44,55.9
총부채,23.82,27.88,22.5,23.82
총자본,43.39,31.96,31.94,32.08
영업활동 현금,4.6,4.22,4.43,4.36
투자활동현금흐름,-7.62,-4.61,1.37,-9.71
재무활동 현금,2.7,0.73,-6.03,5.57
현금순변동,-0.32,0.34,-0.24,0.22
