마감 기준:,2021년 10월 02일,2020년 10월 03일,2019년 09월 28일,2018년 09월 29일
총매출,1487.47,1229,1430.64,1902.57
총 이익,581.04,413.47,506.17,830.69
영업 이익,-103.5,-430.18,83.09,393.02
순이익,-106.75,-414.14,53.83,247.36
총 자산,1888.93,1827.5,2083.17,2259.97
총부채,1020.75,900.27,798.43,945.5
총자본,868.18,927.22,1284.74,1314.46
영업활동 현금,72.94,206.91,181.4,236.11
투자활동현금흐름,-72.85,-78.18,-100.29,-67.74
재무활동 현금,20.57,-9.89,-80.52,-299
현금순변동,17,126.86,-5.38,-133.04
