마감 기준:,2021년 10월 31일,2020년 10월 31일,2019년 10월 31일,2018년 10월 31일
총매출,4799.65,3564.27,3440.26,3236
총 이익,907.76,217.86,281.94,259.1
영업 이익,598.87,-11.59,67.99,29.7
순이익,455.09,28.27,53.29,61.43
총 자산,2345.03,1849.03,1774.13,1659.44
총부채,494.79,429.76,356.46,271.55
총자본,1850.24,1419.27,1417.67,1387.89
영업활동 현금,623.48,222.01,206.8,131.41
투자활동현금흐름,-165.26,-201.96,-248.51,-306.67
재무활동 현금,-67.94,-66.41,15.93,-122.83
현금순변동,390.28,-46.36,-25.78,-298.09
