마감 기준:,2021년 11월 30일,2020년 11월 30일,2019년 11월 30일,2018년 11월 30일
총매출,24.97,22.41,22.89,19.73
총 이익,6.6,2.4,3.93,3.51
영업 이익,0.52,-3.91,-1.5,-3.1
순이익,0.21,-2.1,-1.42,-3.39
총 자산,20.85,18.8,19.35,21.33
총부채,10.5,8.9,7.55,8.29
총자본,10.35,9.91,11.79,13.04
영업활동 현금,-0.99,-0.86,0.81,-1.12
투자활동현금흐름,-0.6,-0.5,0.45,0.71
재무활동 현금,1.59,1.36,-1.26,0.2
현금순변동,-0,-0,-0,-0.21
