Code,Company,EPS,Naver,Investing,OECD_Diff,CAGR,MDD(Now),MDD(Target),Portion,Price,Stock(Now),Stock(Target),Trade
000660,SK하이닉스,5777.0,3.96,적극매수,-0.1,,,40.0,20.0,,,,
005930,삼성전자,5777.0,3.96,적극매수,-0.1,,,40.0,20.0,,,,
