주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"56,847","56,648","59,819","55,635","61,474","70,773","76,184","81,551"
영업이익,835,"1,974","2,186",887,"2,323","3,110","3,759","4,267"
영업이익(발표기준),835,"1,974","2,186",887,"2,323",,,
세전계속사업이익,193,"1,414","1,765",52,"2,281","2,766","3,472","4,025"
당기순이익,183,"1,129","1,182",139,"1,786","2,105","2,671","3,101"
  당기순이익(지배),48,"1,057","1,105",58,"1,671","1,958","2,483","2,868"
  당기순이익(비지배),135,73,77,81,115,,,
자산총계,"44,510","44,373","45,956","49,383","57,044","60,603","63,854","67,693"
부채총계,"30,388","29,555","30,100","32,288","36,601","38,623","39,568","40,441"
자본총계,"14,123","14,818","15,856","17,096","20,443","21,980","24,286","27,252"
  자본총계(지배),"13,517","14,158","15,117","16,375","19,545","20,824","23,053","26,009"
  자본총계(비지배),605,,739,721,897,,,
자본금,470,470,470,470,470,470,470,470
영업활동현금흐름,"2,769","2,869","2,725","4,300","4,127","5,505","6,222","6,563"
투자활동현금흐름,"-3,774","-2,976","-3,001","-1,444","-3,766","-3,707","-3,861","-3,977"
재무활동현금흐름,410,100,"1,147",714,"2,290",-352,-824,-944
CAPEX,"2,857","2,625","2,219","1,776","2,073","2,744","2,897","2,920"
FCF,-88,244,506,"2,524","2,054","1,902","2,448","2,911"
이자발생부채,"13,391","13,853","15,984","17,109","21,655",,,
영업이익률,1.47,3.48,3.65,1.59,3.78,4.39,4.93,5.23
순이익률,0.32,1.99,1.98,0.25,2.91,2.97,3.51,3.80
ROE(%),0.34,7.64,7.55,0.37,9.31,9.70,11.32,11.69
ROA(%),0.41,2.54,2.62,0.29,3.36,3.58,4.29,4.71
부채비율,215.17,199.46,189.83,188.86,179.04,175.72,162.93,148.40
자본유보율,"2,568.84","2,732.44","2,888.54","2,819.81","3,233.97",,,
EPS(원),102,"2,250","2,354",123,"3,559","4,169","5,288","6,107"
PER(배),605.78,12.87,14.96,476.93,17.81,13.12,10.34,8.96
BPS(원),"28,868","30,236","32,284","34,970","41,672","44,399","49,151","55,452"
PBR(배),2.14,0.96,1.09,1.68,1.52,1.23,1.11,0.99
현금DPS(원),200,500,550,0,800,858,933,990
현금배당수익률,0.32,1.73,1.56,0.00,1.26,1.57,1.71,1.81
현금배당성향(%),195.81,22.16,23.30,0.00,22.45,20.59,17.65,16.21
발행주식수(보통주),"46,957,120","46,957,120","46,957,120","46,957,120","46,957,120",,,
