주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"102,986","133,219","154,310","168,358","131,448","108,241","108,816","111,970"
영업이익,"6,278","5,123","7,280","11,171","14,855","12,162","12,616","13,963"
영업이익(발표기준),"6,278","5,123","7,280","11,171","14,855",,,
세전계속사업이익,"6,647","5,850","8,937","11,402","16,422","12,749","13,558","14,766"
당기순이익,"5,049","4,620","6,642","8,343","11,834","9,215","9,852","10,758"
  당기순이익(지배),"5,032","4,566","6,590","8,218","11,527","8,841","9,440","10,047"
  당기순이익(비지배),18,54,53,125,307,,,
자산총계,"906,266","1,180,855","1,331,498","1,309,469","1,086,418","1,222,549","1,338,476","1,578,650"
부채총계,"832,421","1,097,331","1,239,562","1,216,006","980,318","1,109,686","1,217,374","1,448,601"
자본총계,"73,845","83,524","91,936","93,463","106,100","112,750","120,978","129,855"
  자본총계(지배),"73,567","83,136","91,278","92,689","105,068","112,220","119,977","127,865"
  자본총계(비지배),278,,659,774,"1,032",,,
자본금,"34,020","41,020","41,020","41,020","41,020","41,020","41,020","41,020"
영업활동현금흐름,"-41,446","-48,755","-33,753","8,439","-12,422",,,
투자활동현금흐름,"-4,586","-28,419","-21,601","-17,027","-22,636",,,
재무활동현금흐름,"40,500","80,542","59,158","5,058","54,825",,,
CAPEX,466,642,827,254,272,,,
FCF,,,,,,,,
이자발생부채,"68,976","139,641","187,644","208,328","239,124",,,
영업이익률,6.09,3.85,4.72,6.64,11.30,11.24,11.59,12.47
순이익률,4.90,3.47,4.30,4.96,9.00,8.51,9.05,9.61
ROE(%),7.19,5.83,7.56,8.94,11.66,8.14,8.13,8.11
ROA(%),0.68,0.44,0.52,0.62,0.96,0.80,0.77,0.74
부채비율,"1,127.25","1,313.80","1,348.28","1,301.06",923.96,984.20,"1,006.28","1,115.55"
자본유보율,118.90,105.13,125.63,136.77,170.58,,,
EPS(원),740,576,811,"1,021","1,457","1,147","1,227","1,306"
PER(배),12.15,11.34,9.31,9.25,5.94,6.77,6.32,5.94
BPS(원),"13,002","11,900","13,050","14,268","16,780","18,213","19,472","20,753"
PBR(배),0.69,0.55,0.58,0.66,0.52,0.43,0.40,0.37
현금DPS(원),220,220,260,200,300,255,269,272
현금배당수익률,2.45,3.37,3.44,2.12,3.47,3.29,3.47,3.50
현금배당성향(%),24.78,33.71,27.63,15.83,16.32,17.75,17.54,16.64
발행주식수(보통주),"666,316,408","658,316,408","658,316,408","645,316,408","635,316,408",,,
