주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"220,136","222,090","229,068","240,449","244,443",,,
영업이익,"12,576","14,508","8,659","10,444","15,069",,,
영업이익(발표기준),"12,576","14,508","8,659","10,444","15,069",,,
세전계속사업이익,"14,307","14,563","8,696","10,281","15,003","14,045","14,265","15,025"
당기순이익,"10,553","10,707","6,456","7,573","11,247","10,225","10,015","10,690"
  당기순이익(지배),"10,527","10,679","6,430","7,550","11,222","10,215","10,005","10,675"
  당기순이익(비지배),26,28,26,23,25,,,
자산총계,"760,152","793,907","851,722","925,964","949,340","901,935","908,450","916,905"
부채총계,"640,069","670,251","708,507","763,138","794,417","756,035","757,505","760,430"
자본총계,"120,083","123,655","143,214","162,825","154,923","145,985","151,145","143,230"
  자본총계(지배),"119,912","123,465","142,999","162,610","154,670","159,920","165,520","172,010"
  자본총계(비지배),171,,216,216,253,,,
자본금,265,265,265,265,265,,,
영업활동현금흐름,"25,948","21,262","9,099","14,839","7,945",,,
투자활동현금흐름,"-20,286","-14,527","-9,875","-2,842","-10,650",,,
재무활동현금흐름,"-2,601","-4,256","-5,611","-4,887","-1,152",,,
CAPEX,769,376,347,232,283,,,
FCF,,,,,,,,
이자발생부채,0,0,0,0,0,,,
영업이익률,5.71,6.53,3.78,4.34,6.16,,,
순이익률,4.79,4.82,2.82,3.15,4.60,,,
ROE(%),9.18,8.80,4.85,4.96,7.09,6.49,6.15,6.33
ROA(%),1.46,1.38,0.78,0.85,1.20,1.10,1.11,1.17
부채비율,533.02,542.03,494.72,468.68,512.78,517.89,501.18,530.92
자본유보율,"50,863.51","52,212.98","59,601.17","67,008.97","64,024.08",,,
EPS(원),"20,819","21,119","12,716","14,931","22,193","20,201","19,786","21,111"
PER(배),12.82,12.74,19.15,12.56,9.10,10.05,10.26,9.62
BPS(원),"282,083","290,441","336,392","382,525","363,848","376,198","389,372","404,639"
PBR(배),0.95,0.93,0.72,0.49,0.56,0.54,0.52,0.50
현금DPS(원),"10,000","11,500","8,500","8,800","12,000","11,973","12,433","13,125"
현금배당수익률,3.75,4.28,3.49,4.69,5.94,5.90,6.12,6.47
현금배당성향(%),40.38,45.78,56.20,49.55,45.46,55.53,58.87,58.25
발행주식수(보통주),"47,374,837","47,374,837","47,374,837","47,374,837","47,374,837",,,
