주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"117,668","106,055","86,519","81,367","86,852","98,422","106,302","110,923"
영업이익,"4,290","6,287","3,641","5,583","7,383","8,144","8,768","9,222"
영업이익(발표기준),"4,290","6,287","3,641","5,583","7,383",,,
세전계속사업이익,"3,136","4,318","3,073","3,774","5,984","7,745","8,237","8,820"
당기순이익,"2,579","2,973","2,012","2,826","4,849","5,714","6,063","6,512"
  당기순이익(지배),"2,589","2,987","2,086","2,838","4,847","5,711","6,058","6,523"
  당기순이익(비지배),-10,-14,-74,-12,2,,,
자산총계,"87,763","87,338","96,977","93,059","104,580","111,957","119,623","127,620"
부채총계,"64,983","64,161","72,094","66,289","72,416","73,913","75,527","77,018"
자본총계,"22,781","23,177","24,882","26,770","32,164","38,045","44,096","50,602"
  자본총계(지배),"22,426","22,819","24,587","26,744","32,119","37,995","44,038","50,541"
  자본총계(비지배),355,,296,26,45,,,
자본금,"20,781","20,781","20,781","20,781","20,781","20,780","20,780","20,780"
영업활동현금흐름,"3,374","1,762","-3,097","4,084","17,468","6,201","6,176","7,333"
투자활동현금흐름,849,"-1,528","2,542",471,"-9,165","-3,858","-3,519","-3,455"
재무활동현금흐름,"-7,211","1,675","1,076","-4,190","-5,815","-2,734","-2,822","-2,963"
CAPEX,680,270,235,117,496,879,875,921
FCF,"2,694","1,492","-3,333","3,967","16,973","4,643","5,079","6,213"
이자발생부채,"19,705","21,470","28,667","24,636","19,491",,,
영업이익률,3.65,5.93,4.21,6.86,8.50,8.27,8.25,8.31
순이익률,2.19,2.80,2.33,3.47,5.58,5.80,5.70,5.87
ROE(%),12.12,13.20,8.80,11.06,16.47,16.29,14.77,13.79
ROA(%),2.75,3.40,2.18,2.97,4.91,5.28,5.24,5.27
부채비율,285.25,276.83,289.74,247.62,225.15,194.28,171.28,152.21
자본유보율,22.01,25.78,35.52,50.88,73.35,,,
EPS(원),623,719,502,683,"1,166","1,374","1,458","1,569"
PER(배),9.50,7.50,9.44,7.30,4.95,4.53,4.27,3.96
BPS(원),"5,458","5,554","5,984","6,509","7,817","9,247","10,718","12,300"
PBR(배),1.08,0.97,0.79,0.77,0.74,0.67,0.58,0.51
현금DPS(원),,,,,,35,42,50
현금배당수익률,,,,,,0.56,0.68,0.81
현금배당성향(%),0.00,0.00,0.00,0.00,,2.51,2.91,3.21
발행주식수(보통주),"415,622,638","415,622,638","415,622,638","415,622,638","415,622,638",,,
