주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"23,437","24,850","23,468","24,027","26,683","30,291","31,975","34,115"
영업이익,"1,584","2,050","1,685","1,337","1,551","1,943","2,130","2,311"
영업이익(발표기준),"1,584","2,050","1,685","1,337","1,551",,,
세전계속사업이익,"1,385","1,778","1,470","1,278","1,108","1,809","1,950","2,287"
당기순이익,"1,060","1,322","1,030",855,853,"1,375","1,467","1,709"
  당기순이익(지배),"1,051","1,316","1,039",852,847,"1,387","1,482","1,735"
  당기순이익(비지배),9,7,-8,3,6,,,
자산총계,"22,558","24,058","25,381","25,404","27,967","29,367","30,444","31,486"
부채총계,"11,077","11,084","11,755","11,269","13,233","13,482","13,424","13,019"
자본총계,"11,481","12,975","13,627","14,135","14,734","15,885","17,020","18,467"
  자본총계(지배),"11,457","12,945","13,606","14,115","14,816","15,945","17,196","18,615"
  자본총계(비지배),24,,21,20,-82,,,
자본금,"1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500"
영업활동현금흐름,"1,446","2,047","2,161","2,889","1,015","2,029","2,098","2,295"
투자활동현금흐름,"-1,638",673,-786,-845,"-1,204",-830,-988,-983
재무활동현금흐름,-541,-806,-578,-553,348,-610,-701,-804
CAPEX,456,552,775,742,558,795,822,778
FCF,990,"1,494","1,386","2,147",457,"1,421","1,180","1,386"
이자발생부채,"6,484","6,102","6,208","6,279","7,332",,,
영업이익률,6.76,8.25,7.18,5.56,5.81,6.42,6.66,6.78
순이익률,4.52,5.32,4.39,3.56,3.20,4.54,4.59,5.01
ROE(%),9.51,10.78,7.82,6.14,5.86,9.02,8.94,9.69
ROA(%),4.69,5.67,4.17,3.37,3.20,4.80,4.91,5.52
부채비율,96.48,85.42,86.26,79.73,89.81,84.87,78.87,70.50
자본유보율,685.28,789.68,831.73,866.01,901.85,,,
EPS(원),"3,503","4,385","3,462","2,839","2,825","4,623","4,938","5,782"
PER(배),18.58,11.17,15.77,22.22,19.76,10.57,9.89,8.45
BPS(원),"39,070","44,144","46,397","48,133","50,525","54,316","58,576","63,410"
PBR(배),1.67,1.11,1.18,1.31,1.10,0.90,0.83,0.77
현금DPS(원),"1,100","1,200","1,200","1,100","1,000","1,325","1,375","1,350"
현금배당수익률,1.69,2.45,2.20,1.74,1.79,2.71,2.81,2.76
현금배당성향(%),30.69,26.75,33.88,37.87,34.61,28.66,27.84,23.35
발행주식수(보통주),"30,000,000","30,000,000","30,000,000","30,000,000","30,000,000",,,
