주요재무정보,"2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/06
(IFRS연결)","2021/12
(IFRS연결)"
매출액,,127,162,169
영업이익,,76,88,101
영업이익(발표기준),,76,88,101
세전계속사업이익,,1,-9,15
당기순이익,,1,-9,15
  당기순이익(지배),,2,-9,15
  당기순이익(비지배),,0,,
자산총계,,"5,249","5,164","5,173"
부채총계,,"4,760","4,703","3,170"
자본총계,,490,462,"2,003"
  자본총계(지배),,487,462,"2,003"
  자본총계(비지배),,3,,
자본금,,130,130,211
영업활동현금흐름,,-40,113,26
투자활동현금흐름,,"-1,103",32,-12
재무활동현금흐름,,"1,174",-104,3
CAPEX,,"1,097",3,11
FCF,,"-1,137",109,15
이자발생부채,,"4,579","4,512","3,000"
영업이익률,,60.13,54.04,59.46
순이익률,,1.09,-5.44,8.90
ROE(%),,,-1.86,1.22
ROA(%),,,-0.17,0.29
부채비율,,972.19,"1,018.44",158.29
자본유보율,,274.43,255.30,"1,036.12"
EPS(원),,8,-36,55
PER(배),,,,94.40
BPS(원),,"1,872","1,904","4,746"
PBR(배),,0.00,0.00,1.09
현금DPS(원),0,0,0,106
현금배당수익률,,,,2.04
현금배당성향(%),,0.00,0.00,297.95
발행주식수(보통주),"600,000","3,750,000","2,000,000","42,200,000"
