주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"22,919","24,489","24,079","24,156","25,415",,,
영업이익,"3,480","4,168","4,849","4,695","7,083","7,907","8,186","8,490"
영업이익(발표기준),"3,480","4,168","4,849","4,695","7,083",,,
세전계속사업이익,"3,452","4,165","4,833","4,640","6,964","7,820","8,103","8,414"
당기순이익,"2,644","3,210","3,621","3,908","5,254","5,809","6,031","6,277"
  당기순이익(지배),"1,851","2,415","3,419","3,635","5,066","5,631","5,838","6,084"
  당기순이익(비지배),794,795,202,273,188,,,
자산총계,"475,937","467,798","475,296","533,755","563,956","595,672","626,134","662,490"
부채총계,"445,073","433,215","437,098","493,466","520,690","548,552","574,668","606,614"
자본총계,"30,864","34,583","38,198","40,289","43,267","47,121","51,469","55,877"
  자본총계(지배),"24,295","31,317","34,699","37,563","41,574","45,260","49,423","53,865"
  자본총계(비지배),"6,569",,"3,499","2,725","1,693",,,
자본금,"7,772","9,849","9,849","9,849","9,849","9,850","9,850","9,850"
영업활동현금흐름,"11,090","4,321",151,"-3,879","2,359",,,
투자활동현금흐름,-645,790,-259,"-8,010","-5,517",,,
재무활동현금흐름,"-12,460","-6,253",356,"14,087","4,426",,,
CAPEX,417,515,445,463,521,,,
FCF,,,,,,,,
이자발생부채,"86,394","79,130","79,845","96,553","101,994",,,
영업이익률,15.18,17.02,20.14,19.44,27.87,,,
순이익률,11.54,13.11,15.04,16.18,20.67,,,
ROE(%),7.86,8.69,10.36,10.06,12.80,12.97,12.33,11.78
ROA(%),0.57,0.68,0.77,0.78,0.96,1.00,0.99,0.97
부채비율,"1,442.05","1,252.68","1,144.30","1,224.83","1,203.44","1,164.13","1,116.53","1,085.62"
자본유보율,299.05,252.68,289.38,310.61,340.85,,,
EPS(원),"1,191","1,465","1,736","1,845","2,572","2,859","2,964","3,089"
PER(배),5.10,3.89,3.16,3.06,3.25,2.99,2.88,2.76
BPS(원),"15,895","16,114","17,854","19,328","21,392","23,289","25,431","27,716"
PBR(배),0.38,0.35,0.31,0.29,0.39,0.37,0.34,0.31
현금DPS(원),100,180,300,374,599,671,716,739
현금배당수익률,1.65,3.16,5.46,6.63,7.17,7.86,8.39,8.65
현금배당성향(%),8.26,14.48,17.05,20.00,22.98,23.47,24.16,23.91
발행주식수(보통주),"155,439,423","196,982,894","196,982,894","196,982,894","196,982,894",,,
