주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"71,104","92,197","104,151","107,811","113,437","120,185","127,387","133,545"
영업이익,"2,357","2,427","3,072","3,253","3,439","4,187","4,751","5,158"
영업이익(발표기준),"2,357","2,427","3,072","3,253","3,439",,,
세전계속사업이익,884,998,938,"2,023","2,392","2,962","3,601","4,207"
당기순이익,542,666,509,"1,426","1,583","2,077","2,529","2,966"
  당기순이익(지배),468,527,397,"1,230",547,"1,717","2,132","2,582"
  당기순이익(비지배),74,139,112,196,"1,035",,,
자산총계,"62,860","78,686","91,100","96,435","89,939","92,867","96,112","97,329"
부채총계,"35,262","47,378","54,548","56,036","49,776","51,770","52,627","51,136"
자본총계,"27,598","31,307","36,552","40,399","40,164","41,097","43,484","46,192"
  자본총계(지배),"23,487","26,541","29,918","33,381","35,655","36,103","38,261","40,843"
  자본총계(비지배),"4,111",,"6,635","7,018","4,509",,,
자본금,"1,141","1,141","1,141","1,141","1,141","1,140","1,140","1,140"
영업활동현금흐름,"2,464",618,"8,503","5,723","3,441","6,211","6,655","7,092"
투자활동현금흐름,"-6,896","-8,435","-3,187","-3,158","3,664","-4,465","-4,471","-3,964"
재무활동현금흐름,"4,565","7,785","-4,737",-940,"-8,772",-471,-973,"-2,164"
CAPEX,"4,846","5,197","4,144","3,123","2,124","4,971","4,801","4,271"
FCF,"-2,382","-4,578","4,358","2,601","1,317",598,"1,765","2,967"
이자발생부채,"22,410","29,212","31,120","32,427","28,138",,,
영업이익률,3.31,2.63,2.95,3.02,3.03,3.48,3.73,3.86
순이익률,0.76,0.72,0.49,1.32,1.40,1.73,1.99,2.22
ROE(%),1.99,2.11,1.41,3.89,1.59,4.78,5.73,6.53
ROA(%),0.92,0.94,0.60,1.52,1.70,2.27,2.68,3.07
부채비율,127.77,151.33,149.23,138.70,123.93,125.97,121.03,110.70
자본유보율,"2,453.87","2,500.96","2,489.33","2,670.19","2,700.68",,,
EPS(원),"2,050","2,309","1,741","5,393","2,400","7,526","9,344","11,320"
PER(배),68.28,72.33,89.01,30.69,52.51,17.41,14.02,11.57
BPS(원),"133,253","146,187","164,787","167,357","178,753","181,003","191,820","204,763"
PBR(배),1.05,1.14,0.94,0.99,0.70,0.72,0.68,0.64
현금DPS(원),0,0,0,0,,0,0,29
현금배당수익률,0.00,0.00,0.00,0.00,,0.00,0.00,0.02
현금배당성향(%),0.00,0.00,0.00,0.00,,,,0.25
발행주식수(보통주),"22,812,344","22,812,344","22,812,344","22,812,344","22,812,344",,,
