주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"29,688","29,568","29,640","31,132","34,700","37,233","38,647","42,215"
영업이익,967,"1,202","1,298","1,744","1,532","1,680","1,850","2,169"
영업이익(발표기준),967,"1,202","1,298","1,744","1,532",,,
세전계속사업이익,835,"1,191","1,506","1,908","1,843","1,625","1,813","2,381"
당기순이익,518,654,"1,089","1,270","1,450","1,203","1,336","1,805"
  당기순이익(지배),527,649,"1,072","1,251","1,441","1,198","1,328","1,798"
  당기순이익(비지배),-10,5,17,19,8,,,
자산총계,"22,524","21,990","23,896","25,283","28,705","29,357","30,726","33,647"
부채총계,"13,680","12,703","13,749","14,268","16,233","15,974","16,186","16,652"
자본총계,"8,844","9,287","10,147","11,016","12,472","13,383","14,540","16,995"
  자본총계(지배),"8,710","9,151","9,973","10,835","12,269","13,172","14,323","16,707"
  자본총계(비지배),135,,174,180,203,,,
자본금,360,360,360,360,360,360,360,360
영업활동현금흐름,"1,662","1,216","1,673","1,211",587,"2,424","2,027","2,540"
투자활동현금흐름,-677,-234,-498,"1,298",-296,-944,"-1,033",18
재무활동현금흐름,"-1,094",-752,-551,316,466,-359,-241,-494
CAPEX,"1,390","1,456","1,098","1,038","1,601","1,025","1,045",0
FCF,272,-240,575,173,"-1,015","1,027",839,"2,562"
이자발생부채,"8,511","7,953","8,356","8,708","10,043",,,
영업이익률,3.26,4.06,4.38,5.60,4.42,4.51,4.79,5.14
순이익률,1.74,2.21,3.67,4.08,4.18,3.23,3.46,4.28
ROE(%),6.13,7.27,11.21,12.02,12.48,9.42,9.66,11.59
ROA(%),2.27,2.94,4.75,5.17,5.37,4.14,4.45,5.61
부채비율,154.67,136.78,135.49,129.53,130.15,119.36,111.31,97.98
자본유보율,"2,475.36","2,626.23","2,825.09","3,116.44","3,449.20",,,
EPS(원),"1,464","1,801","2,976","3,473","4,002","3,326","3,688","4,992"
PER(배),18.82,13.91,7.79,7.50,5.82,7.26,6.55,4.84
BPS(원),"24,181","25,405","27,689","30,083","34,063","36,571","39,767","46,385"
PBR(배),1.14,0.99,0.84,0.87,0.68,0.66,0.61,0.52
현금DPS(원),500,550,600,700,800,810,810,900
현금배당수익률,1.81,2.20,2.59,2.69,3.43,3.35,3.35,3.73
현금배당성향(%),34.18,30.56,20.17,20.16,20.00,23.43,21.13,17.34
발행주식수(보통주),"34,648,025","34,648,025","34,648,025","34,648,025","34,648,025",,,
