주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"6,797","6,693","8,074","9,359","12,147","15,735","17,376","18,075"
영업이익,"1,432","1,130","1,813","2,393","3,991","6,386","7,251","7,488"
영업이익(발표기준),"1,432","1,130","1,813","2,393","3,991",,,
세전계속사업이익,"1,050",961,"1,440","2,097","4,204","6,629","7,562","7,504"
당기순이익,"1,102",868,"1,046","1,660","3,169","5,083","5,761","5,660"
  당기순이익(지배),"1,102",868,"1,046","1,660","3,169","5,204","5,831",
  당기순이익(비지배),,,,,,,,
자산총계,"9,940","10,665","10,889","11,786","15,499","20,473","26,415","31,334"
부채총계,"5,382","5,081","4,442","3,840","4,439","4,412","4,707","4,605"
자본총계,"4,558","5,584","6,447","7,946","11,060","16,062","21,708","26,729"
  자본총계(지배),"4,558","5,584","6,447","7,946","11,060","16,039","21,790",
  자본총계(비지배),,,,,,,,
자본금,"2,226","2,226","2,226","2,226","2,226","2,227","2,227","2,226"
영업활동현금흐름,"1,831","1,803","1,611","3,100","3,931","6,644","7,012","7,286"
투자활동현금흐름,"-1,019","-1,173","-1,240","-2,653","-2,528","-2,172","-2,170","-1,509"
재무활동현금흐름,-858,-509,-709,-760,-49,-258,66,-304
CAPEX,759,"1,095",891,"1,577","1,336","2,076","2,217","1,000"
FCF,"1,072",708,720,"1,522","2,595","5,385","5,481","6,227"
이자발생부채,"3,556","3,050","2,527","1,779","1,718",,,
영업이익률,21.07,16.88,22.45,25.57,32.86,40.59,41.73,41.43
순이익률,16.21,12.97,12.96,17.74,26.09,32.30,33.15,31.31
ROE(%),27.62,17.12,17.39,23.07,33.35,38.41,30.83,
ROA(%),11.13,8.43,9.71,14.64,23.23,28.26,24.57,19.60
부채비율,118.07,91.00,68.91,48.33,40.13,27.47,21.69,17.23
자본유보율,137.66,186.48,226.34,293.62,431.38,,,
EPS(원),"2,475","1,951","2,351","3,730","7,119","11,691","13,100",
PER(배),4.85,5.56,11.74,13.67,10.21,5.84,5.21,
BPS(원),"10,531","12,863","14,844","18,294","25,449","36,904","50,138",
PBR(배),1.14,0.84,1.86,2.79,2.86,1.85,1.36,
현금DPS(원),250,250,350,350,450,486,540,700
현금배당수익률,2.08,2.30,1.27,0.69,0.62,0.71,0.79,1.02
현금배당성향(%),9.95,12.50,14.53,9.16,6.17,4.15,4.11,
발행주식수(보통주),"44,367,832","44,398,588","44,398,588","44,398,588","44,398,588",,,
