주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"55,134","54,670","63,921","67,492","74,867","84,366","86,138","88,677"
영업이익,217,"1,964","4,227","3,612","5,033","6,111","6,367","6,692"
영업이익(발표기준),217,"1,964","4,227","3,612","5,033",,,
세전계속사업이익,-548,"1,605","4,378","3,518","5,295","6,210","6,545","6,789"
당기순이익,-712,629,"3,238","2,521","3,511","4,474","4,694","4,867"
  당기순이익(지배),-644,613,"3,209","2,525","3,724","4,548","4,776","4,957"
  당기순이익(비지배),-68,15,29,-4,-213,,,
자산총계,"50,728","46,196","45,657","47,556","60,587","64,204","68,995","74,612"
부채총계,"40,967","36,218","32,705","31,738","40,982","40,041","40,183","41,041"
자본총계,"9,761","9,979","12,952","15,817","19,605","24,164","28,811","33,571"
  자본총계(지배),"9,976","10,191","13,152","16,007","20,023","24,655","29,374","34,293"
  자본총계(비지배),-215,-212,-200,-190,-418,,,
자본금,"9,800","9,800","9,800","9,800","9,800","9,800","9,800","9,800"
영업활동현금흐름,"-1,340","4,462","7,841",444,"7,398","4,439","4,938","5,166"
투자활동현금흐름,-152,207,"-1,472",734,"-2,013",-762,-920,-922
재무활동현금흐름,381,"-8,492","-4,223",704,"-2,082",-360,-387,-502
CAPEX,138,146,196,234,298,223,269,310
FCF,"-1,478","4,316","7,645",209,"7,101","4,077","4,259","4,127"
이자발생부채,"14,449","5,575","1,482","2,326",408,,,
영업이익률,0.39,3.59,6.61,5.35,6.72,7.24,7.39,7.55
순이익률,-1.29,1.15,5.07,3.74,4.69,5.30,5.45,5.49
ROE(%),-6.45,6.08,27.49,17.32,20.67,20.36,17.68,15.57
ROA(%),-1.35,1.30,7.05,5.41,6.49,7.17,7.05,6.78
부채비율,419.71,362.96,252.51,200.66,209.04,165.70,139.47,122.25
자본유보율,12.41,18.20,51.11,68.06,100.99,,,
EPS(원),-329,313,"1,637","1,288","1,900","2,321","2,437","2,529"
PER(배),N/A,56.23,11.73,10.29,12.05,11.31,10.77,10.38
BPS(원),"5,090","5,199","6,710","8,167","10,216","12,579","14,987","17,496"
PBR(배),2.44,3.39,2.86,1.62,2.24,2.09,1.75,1.50
현금DPS(원),0,0,0,0,,20,63,85
현금배당수익률,0.00,0.00,0.00,0.00,,0.08,0.24,0.32
현금배당성향(%),0.00,0.00,0.00,0.00,,0.86,2.60,3.35
발행주식수(보통주),"196,000,000","196,000,000","196,000,000","196,000,000","196,000,000",,,
