주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"15,478","14,381","15,201","4,786","7,884","13,439","16,159","16,812"
영업이익,"5,309","4,307","5,012","-4,316",-527,"3,047","4,816","5,191"
영업이익(발표기준),"5,309","4,307","5,012","-4,316",-527,,,
세전계속사업이익,"5,662","4,107","4,889","-4,045",-142,"3,233","5,113","5,501"
당기순이익,"4,375","2,972","3,347","-2,759",-106,"2,389","3,759","4,075"
  당기순이익(지배),"4,376","2,973","3,347","-2,759",-106,"2,388","3,756","4,072"
  당기순이익(비지배),-1,-1,0,0,0,,,
자산총계,"41,857","42,312","44,381","36,416","38,273","40,636","43,090","46,659"
부채총계,"6,844","6,445","7,204","3,946","5,745","6,272","6,293","7,163"
자본총계,"35,012","35,868","37,178","32,470","32,528","34,364","36,796","39,496"
  자본총계(지배),"35,011","35,867","37,177","32,470","32,528","34,363","36,792","39,489"
  자본총계(비지배),1,,1,0,0,,,
자본금,"1,070","1,070","1,070","1,070","1,070","1,070","1,070","1,070"
영업활동현금흐름,"4,630","3,639","4,079","-6,557","2,109","4,218","4,588","5,269"
투자활동현금흐름,"-2,502","-2,020","-2,113","8,446",-739,"-1,441","-1,224","-1,620"
재무활동현금흐름,"-2,003","-2,024","-1,848","-1,836",33,-63,"-1,310","-1,649"
CAPEX,855,"1,033",796,590,429,444,483,480
FCF,"3,776","2,607","3,283","-7,146","1,679","3,177","4,497","4,727"
이자발생부채,14,0,680,642,634,,,
영업이익률,34.30,29.95,32.97,-90.18,-6.68,22.67,29.80,30.88
순이익률,28.27,20.67,22.02,-57.65,-1.34,17.78,23.26,24.24
ROE(%),12.96,8.39,9.16,-7.92,-0.33,7.14,10.56,10.68
ROA(%),10.72,7.06,7.72,-6.83,-0.28,6.06,8.98,9.08
부채비율,19.55,17.97,19.38,12.15,17.66,18.25,17.10,18.14
자본유보율,"3,335.69","3,415.78","3,538.24","3,098.20","3,103.60",,,
EPS(원),"2,046","1,390","1,564","-1,289",-49,"1,116","1,756","1,904"
PER(배),17.01,23.03,18.92,N/A,N/A,25.00,15.89,14.66
BPS(원),"17,269","17,691","18,337","16,016","16,044","16,949","18,148","19,478"
PBR(배),2.02,1.81,1.61,1.47,1.50,1.65,1.54,1.43
현금DPS(원),990,900,900,0,,650,825,850
현금배당수익률,2.84,2.81,3.04,0.00,,2.33,2.96,3.05
현금배당성향(%),45.86,61.37,54.52,0.00,,58.23,46.98,44.65
발행주식수(보통주),"213,940,500","213,940,500","213,940,500","213,940,500","213,940,500",,,
