주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"10,733","19,269","20,233","22,298","23,555","25,594","27,327","29,531"
영업이익,"1,074","2,822","3,276","3,761","3,729","4,068","4,560","5,078"
영업이익(발표기준),"1,074","2,822","3,276","3,761","3,729",,,
세전계속사업이익,"1,051","2,752","3,081","3,974","3,790","4,158","4,678","5,308"
당기순이익,767,"1,430","2,205","2,746","2,637","2,966","3,337","3,823"
  당기순이익(지배),756,"1,399","2,156","2,676","2,577","2,909","3,271","3,748"
  당기순이익(비지배),11,32,49,70,60,,,
자산총계,"22,580","23,514","24,523","26,654","31,204","33,699","37,266","41,432"
부채총계,"9,131","9,068","7,848","7,679","8,279","8,038","8,240","8,488"
자본총계,"13,449","14,445","16,675","18,975","22,926","25,661","29,026","32,943"
  자본총계(지배),"13,082","14,055","16,226","18,300","22,110","24,758","28,025","31,733"
  자본총계(비지배),367,,449,676,815,,,
자본금,198,198,198,198,198,199,199,198
영업활동현금흐름,"1,932","4,006","3,478","4,610","4,047","4,214","4,534","4,935"
투자활동현금흐름,-170,"-1,149","-1,875","-1,632","-2,267","-1,659","-1,664","-1,663"
재무활동현금흐름,"-1,553","-1,992","-1,844",-865,-398,-790,-458,-565
CAPEX,898,"1,308","1,258","1,518","1,423","1,633","1,622","1,665"
FCF,"1,035","2,698","2,220","3,092","2,625","2,636","2,979","3,546"
이자발생부채,"5,997","4,350","3,112","2,562","2,546",,,
영업이익률,10.01,14.64,16.19,16.87,15.83,15.89,16.69,17.20
순이익률,7.14,7.42,10.90,12.31,11.19,11.59,12.21,12.95
ROE(%),,10.31,14.24,15.50,12.75,12.41,12.39,12.54
ROA(%),,6.21,9.18,10.73,9.11,9.14,9.40,9.72
부채비율,67.89,62.78,47.06,40.47,36.11,31.32,28.39,25.77
자본유보율,"3,411.40","3,992.84","4,940.01","6,173.29","7,312.90",,,
EPS(원),"3,261","3,538","5,453","6,768","6,518","7,357","8,273","9,481"
PER(배),32.05,33.92,19.35,18.32,15.88,12.57,11.18,9.76
BPS(원),"33,098","35,560","41,050","46,294","55,935","62,632","70,899","80,279"
PBR(배),3.16,3.37,2.57,2.68,1.85,1.48,1.30,1.15
현금DPS(원),600,600,600,750,750,792,829,850
현금배당수익률,0.57,0.50,0.57,0.60,0.72,0.86,0.90,0.92
현금배당성향(%),31.38,16.96,11.00,11.08,11.50,10.76,10.02,8.97
발행주식수(보통주),"39,533,501","39,533,961","39,536,132","39,536,132","39,536,132",,,
