주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"15,171","15,100","15,385","14,708","16,614","19,052","20,514","21,387"
영업이익,"2,509","2,469","2,292","2,502","2,487","2,799","3,262","3,518"
영업이익(발표기준),"2,509","2,469","2,292","2,502","2,487",,,
세전계속사업이익,"1,760","2,002","1,678","1,647","1,910","2,256","2,781","3,045"
당기순이익,"3,012","1,470","1,311","1,382","1,860","1,790","2,192","2,360"
  당기순이익(지배),"3,021","1,463","1,307","1,382","1,860","1,789","2,188","2,391"
  당기순이익(비지배),-8,7,5,,,,,
자산총계,"35,012","34,293","33,680","33,268","35,648","35,538","35,918","37,350"
부채총계,"14,801","14,497","15,667","16,371","19,093","18,890","19,128","20,510"
자본총계,"20,211","19,796","18,014","16,897","16,555","16,648","16,790","16,839"
  자본총계(지배),"19,604","19,349","18,014","16,897","16,555","16,702","16,910","16,826"
  자본총계(비지배),606,,,,,,,
자본금,"5,054","5,054","5,054",504,504,502,502,502
영업활동현금흐름,"2,983","3,160","3,660","3,859","3,812","4,233","4,490","4,424"
투자활동현금흐름,"-2,230","-1,156",-763,"-1,388","-3,300","-2,372","-2,019","-2,785"
재무활동현금흐름,47,"-2,569","-2,651","-2,855","-1,594","-2,078","-2,383","-2,505"
CAPEX,"1,364","1,355",997,"1,556","1,993","1,699","1,246","1,522"
FCF,"1,619","1,805","2,663","2,303","1,819","2,446","2,965","2,788"
이자발생부채,"8,799","8,969","10,035","10,696","13,005",,,
영업이익률,16.54,16.35,14.90,17.01,14.97,14.69,15.90,16.45
순이익률,19.86,9.74,8.52,9.40,11.19,9.40,10.68,11.04
ROE(%),16.55,7.51,6.99,7.92,11.12,10.76,13.02,14.17
ROA(%),8.97,4.24,3.86,4.13,5.40,5.03,6.13,6.44
부채비율,73.23,73.23,86.97,96.89,115.33,113.47,113.93,121.80
자본유보율,289.06,285.85,265.98,"3,389.32","3,324.22",,,
EPS(원),613,290,259,274,369,355,434,474
PER(배),6.08,21.73,21.93,24.42,20.89,21.66,17.71,16.21
BPS(원),"3,879","3,828","3,564","3,364","3,296","3,325","3,367","3,350"
PBR(배),0.96,1.64,1.59,1.99,2.34,2.31,2.28,2.30
현금DPS(원),214,370,420,440,440,440,441,448
현금배당수익률,5.74,5.88,7.41,6.59,5.71,5.72,5.74,5.83
현금배당성향(%),34.97,127.81,162.48,160.42,118.85,123.94,101.59,94.42
발행주식수(보통주),"503,859,595","503,859,595","503,859,595","503,859,595","503,859,595",,,
