주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"12,368","12,425","12,470","13,032","13,806","14,408","14,810","14,816"
영업이익,"1,641","1,915","1,939","1,354","1,240","1,635","1,735","1,814"
영업이익(발표기준),"1,641","1,915","1,939","1,354","1,240",,,
세전계속사업이익,"1,752","2,105","1,985","1,110","1,359","1,726","1,839","1,914"
당기순이익,"1,360","1,613","1,533",871,987,"1,324","1,410","1,470"
  당기순이익(지배),"1,360","1,613","1,533",871,987,"1,324","1,410","1,470"
  당기순이익(비지배),0,0,,0,0,,,
자산총계,"12,000","12,809","13,594","13,499","14,269","15,295","16,040","16,413"
부채총계,"2,949","2,968","2,960","2,982","3,149","3,496","3,590","3,239"
자본총계,"9,051","9,841","10,634","10,517","11,120","11,798","12,451","13,174"
  자본총계(지배),"9,051","9,841","10,634","10,517","11,120","11,798","12,451","13,174"
  자본총계(비지배),0,,0,0,0,,,
자본금,90,90,90,90,90,90,90,90
영업활동현금흐름,"1,328","1,301","1,606",746,"1,333","1,209","1,636","1,630"
투자활동현금흐름,"-1,934","-1,237",-887,270,-398,-977,-777,-799
재무활동현금흐름,-306,-662,-838,-902,-559,-293,-669,-758
CAPEX,722,484,288,495,301,451,442,585
FCF,607,817,"1,317",250,"1,032",831,"1,274","1,258"
이자발생부채,0,0,75,51,85,,,
영업이익률,13.26,15.42,15.55,10.39,8.98,11.35,11.71,12.25
순이익률,10.99,12.98,12.30,6.68,7.15,9.19,9.52,9.92
ROE(%),16.04,17.08,14.98,8.23,9.12,11.56,11.63,11.48
ROA(%),11.86,13.01,11.61,6.43,7.11,8.96,9.00,9.06
부채비율,32.59,30.16,27.84,28.35,28.32,29.64,28.83,24.58
자본유보율,"9,963.98","10,846.87","11,723.35","11,592.87","12,262.33",,,
EPS(원),"3,021","3,585","3,407","1,935","2,193","2,943","3,133","3,267"
PER(배),13.44,9.26,11.49,15.35,17.58,12.50,11.75,11.26
BPS(원),"20,113","21,870","23,632","23,371","24,711","26,219","27,669","29,276"
PBR(배),2.02,1.52,1.66,1.27,1.56,1.40,1.33,1.26
현금DPS(원),"1,470","1,790","1,920","1,146","1,199","1,606","1,713","1,682"
현금배당수익률,3.62,5.39,4.90,3.86,3.11,4.36,4.66,4.57
현금배당성향(%),48.65,49.93,56.35,59.24,54.68,54.56,54.69,51.49
발행주식수(보통주),"45,000,000","45,000,000","45,000,000","45,000,000","45,000,000",,,
