주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"256,980","281,830","273,531","300,589","426,547","495,777","561,621","628,181"
영업이익,"29,285","22,461","8,254","18,054","50,255","37,535","45,351","53,764"
영업이익(발표기준),"29,285","22,461","8,254","18,054","50,255",,,
세전계속사업이익,"25,639","19,400","5,744","9,516","48,907","35,397","42,888","50,797"
당기순이익,"20,220","15,193","3,761","6,824","39,539","26,958","32,695","38,643"
  당기순이익(지배),"19,453","14,726","3,134","5,126","36,698","24,603","29,960","35,377"
  당기순이익(비지배),767,467,627,"1,698","2,841",,,
자산총계,"250,412","289,441","340,244","413,889","511,353","598,668","651,492","705,098"
부채총계,"87,026","116,220","166,406","225,985","279,253","306,249","336,320","361,241"
자본총계,"163,386","173,221","173,838","187,904","232,100","292,419","315,173","343,856"
  자본총계(지배),"161,685","170,830","170,050","180,391","216,938","271,747","293,220","320,419"
  자본총계(비지배),"1,700",,"3,788","7,513","15,162",,,
자본금,"3,914","3,914","3,914","3,914","3,914","3,911","3,911","3,911"
영업활동현금흐름,"31,807","21,250","31,211","58,408","55,098","70,436","80,729","89,619"
투자활동현금흐름,"-16,404","-36,390","-61,114","-52,964","-53,493","-77,566","-80,746","-77,338"
재무활동현금흐름,"-7,365","17,938","23,006","9,381","1,237","26,632","8,821","6,312"
CAPEX,"22,526","42,194","62,382","55,358","57,736","82,379","78,447","73,926"
FCF,"9,281","-20,944","-31,171","3,050","-2,638","2,147","-12,602","3,916"
이자발생부채,"30,449","53,211","84,143","101,861","147,657",,,
영업이익률,11.40,7.97,3.02,6.01,11.78,7.57,8.08,8.56
순이익률,7.87,5.39,1.38,2.27,9.27,5.44,5.82,6.15
ROE(%),12.92,8.86,1.84,2.93,18.47,10.07,10.61,11.53
ROA(%),8.88,5.63,1.20,1.81,8.55,4.86,5.23,5.70
부채비율,53.26,67.09,95.73,120.27,120.32,104.73,106.71,105.06
자본유보율,"4,167.96","4,412.01","4,362.05","4,565.03","5,311.19",,,
EPS(원),"24,854","18,812","4,003","6,549","46,880","31,429","38,272","45,193"
PER(배),16.30,18.45,79.31,125.83,13.12,15.45,12.69,10.74
BPS(원),"211,043","222,980","221,961","231,866","278,455","348,806","376,370","411,282"
PBR(배),1.92,1.56,1.43,3.55,2.21,1.39,1.29,1.18
현금DPS(원),"6,000","6,000","2,000","10,000","12,000","11,191","11,722","11,700"
현금배당수익률,1.48,1.73,0.63,1.21,1.95,2.30,2.41,2.41
현금배당성향(%),23.65,31.24,49.02,151.84,25.49,32.11,27.62,23.35
발행주식수(보통주),"70,592,343","70,592,343","70,592,343","70,592,343",,,,
