주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"35,147","47,137","57,173","31,881","37,791","46,782","56,399","63,921"
영업이익,731,"2,091","2,959","-1,853","1,188","1,386","2,485","2,998"
영업이익(발표기준),731,"2,091","2,959","-1,853","1,188",,,
세전계속사업이익,448,"1,470","2,256","-3,607",479,876,"2,006","2,534"
당기순이익,253,"1,103","1,694","-2,833",271,625,"1,488","1,877"
  당기순이익(지배),253,"1,103","1,697","-2,834",271,640,"1,488","1,877"
  당기순이익(비지배),0,0,-3,1,0,,,
자산총계,"22,192","23,037","35,273","28,938","26,564","27,758","30,408","33,553"
부채총계,"15,510","15,387","26,077","22,699","20,795","21,568","22,826","24,285"
자본총계,"6,681","7,651","9,195","6,240","5,769","6,191","7,582","9,269"
  자본총계(지배),"6,675","7,644","9,192","6,235","5,764","6,305","7,789","9,613"
  자본총계(비지배),7,7,4,4,5,,,
자본금,"2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000"
영업활동현금흐름,"2,072","1,539","4,037",-517,423,692,"1,878","2,760"
투자활동현금흐름,"-1,621","-1,028",-926,"-2,602","1,343","-1,072","-1,362","-1,134"
재무활동현금흐름,853,"-2,447",-872,478,"-1,802",-583,-523,-918
CAPEX,649,778,658,478,221,572,870,907
FCF,"1,423",761,"3,379",-994,203,503,"1,427","2,167"
이자발생부채,"8,701","6,589","15,615","16,314","15,036",,,
영업이익률,2.08,4.44,5.17,-5.81,3.14,2.96,4.41,4.69
순이익률,0.72,2.34,2.96,-8.89,0.72,1.34,2.64,2.94
ROE(%),3.81,15.41,20.16,-36.74,4.51,10.61,21.12,21.57
ROA(%),1.19,4.88,5.81,-8.82,0.98,2.30,5.12,5.87
부채비율,232.14,201.12,283.59,363.79,360.47,348.40,301.06,262.01
자본유보율,289.06,335.96,411.78,269.18,242.58,,,
EPS(원),632,"2,758","4,243","-7,085",677,"1,600","3,720","4,692"
PER(배),134.31,27.74,21.40,N/A,115.28,47.49,20.43,16.20
BPS(원),"17,633","20,194","24,282","16,472","15,228","16,657","20,577","25,394"
PBR(배),4.81,3.79,3.74,5.00,5.12,4.56,3.69,2.99
현금DPS(원),350,350,350,200,200,217,238,268
현금배당수익률,0.41,0.46,0.39,0.24,0.26,0.29,0.31,0.35
현금배당성향(%),52.54,12.04,7.83,-2.68,28.11,13.29,6.26,5.61
발행주식수(보통주),"39,248,121","39,248,121","39,248,121","39,248,121","39,248,121",,,
