주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"95,455","92,413","115,035","127,678","107,622","81,884","70,270","64,222"
영업이익,"4,592","5,401","5,754","7,873","12,939","8,870","9,689","10,536"
영업이익(발표기준),"4,592","5,401","5,754","7,873","12,939",,,
세전계속사업이익,"4,425","5,048","6,332","7,891","13,021","8,668","9,684","10,383"
당기순이익,"3,496","3,615","4,764","5,769","9,315","6,569","7,242","7,669"
  당기순이익(지배),"3,501","3,609","4,755","5,770","9,315","6,325","6,949","7,599"
  당기순이익(비지배),-5,6,9,-1,-1,,,
자산총계,"438,927","534,226","500,751","627,384","585,420","615,740","640,932","668,913"
부채총계,"390,565","483,688","446,830","569,356","517,187","542,059","562,230","584,770"
자본총계,"48,362","50,538","53,921","58,029","68,233","73,679","78,700","84,143"
  자본총계(지배),"48,306","50,476","53,851","57,977","68,182","73,729","78,859","83,156"
  자본총계(비지배),56,,70,52,52,,,
자본금,"15,313","15,313","15,313","15,313","16,094","16,864","16,864","16,961"
영업활동현금흐름,"8,763","-15,955",676,"-46,576","34,592",,,
투자활동현금흐름,"-21,733","9,603","-4,555","-17,904","2,057",,,
재무활동현금흐름,"12,210","7,293","7,638","66,784","-36,074",,,
CAPEX,152,165,182,287,552,,,
FCF,,,,,,,,
이자발생부채,"68,219","99,370","119,358","133,584","130,216",,,
영업이익률,4.81,5.85,5.00,6.17,12.02,10.83,13.79,16.41
순이익률,3.66,3.91,4.14,4.52,8.65,8.02,10.30,11.94
ROE(%),7.40,7.31,9.12,10.32,14.77,8.91,9.11,9.38
ROA(%),0.81,0.74,0.92,1.02,1.54,1.09,1.15,1.17
부채비율,807.59,957.08,828.68,981.16,757.97,735.70,714.39,694.97
자본유보율,217.15,231.36,253.08,279.91,324.87,,,
EPS(원),"1,166","1,202","1,584","1,921","3,067","1,838","1,982","2,168"
PER(배),11.92,10.86,8.02,5.88,4.08,5.55,5.15,4.71
BPS(원),"16,138","16,863","17,974","19,352","21,630","21,074","22,540","23,769"
PBR(배),0.86,0.77,0.71,0.58,0.58,0.48,0.45,0.43
현금DPS(원),500,500,500,700,"1,050",795,845,891
현금배당수익률,3.60,3.83,3.94,6.19,8.40,7.79,8.28,8.74
현금배당성향(%),43.02,41.74,31.70,36.51,35.63,41.69,40.33,38.91
발행주식수(보통주),"281,408,887","281,408,887","281,408,887","281,408,887","297,033,887",,,
