주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"39,000","33,542","32,934","33,671","35,881","37,475","39,220","40,849"
영업이익,"5,056","4,786","4,497","5,343","7,493","7,436","7,503","7,626"
영업이익(발표기준),"5,056","4,786","4,497","5,343","7,493",,,
세전계속사업이익,"5,022","4,691","4,453","5,325","7,470","7,576","7,781","7,951"
당기순이익,"3,867","3,452","3,441","3,988","5,511","5,585","5,653","5,733"
  당기순이익(지배),"3,867","3,452","3,441","3,988","5,511","5,570","5,675","5,783"
  당기순이익(비지배),,,,,,,,
자산총계,"230,766","230,421","220,382","233,989","271,442","286,494","300,604","314,671"
부채총계,"161,536","162,708","151,418","162,793","196,309","206,450","217,019","227,498"
자본총계,"69,229","67,713","68,964","71,195","75,133","77,549","80,345","83,159"
  자본총계(지배),"69,229","67,713","68,964","71,195","75,133","51,475","52,985","54,565"
  자본총계(비지배),,,,,,,,
자본금,"6,148","6,148","6,148","6,148","6,148","6,150","6,150","6,150"
영업활동현금흐름,"-10,176","-4,031","11,745","-7,694","-25,919",,,
투자활동현금흐름,"-1,309",-705,"-2,777","2,803",-455,,,
재무활동현금흐름,"11,999","6,327","-14,567","8,117","27,053",,,
CAPEX,81,128,69,125,52,,,
FCF,,,,,,,,
이자발생부채,"129,149","138,994","127,195","136,161","166,628",,,
영업이익률,12.96,14.27,13.65,15.87,20.88,19.84,19.13,18.67
순이익률,9.92,10.29,10.45,11.84,15.36,14.90,14.41,14.03
ROE(%),5.71,5.04,5.04,5.69,7.53,8.80,10.87,10.76
ROA(%),1.72,1.50,1.53,1.75,2.18,2.00,1.93,1.86
부채비율,233.33,240.29,219.56,228.66,261.28,266.22,270.11,273.57
자본유보율,"1,074.67","1,067.08","1,087.44","1,123.73","1,187.77",,,
EPS(원),"3,338","2,980","2,970","3,442","4,756","4,808","4,898","4,992"
PER(배),11.86,11.59,13.00,9.44,6.62,6.92,6.79,6.66
BPS(원),"63,159","63,455","64,628","66,718","70,408","48,238","49,653","51,134"
PBR(배),0.63,0.54,0.60,0.49,0.45,0.69,0.67,0.65
현금DPS(원),"1,500","1,600","1,600","1,800","2,300","2,325","2,394","2,429"
현금배당수익률,3.79,4.63,4.15,5.54,7.30,6.99,7.20,7.30
현금배당성향(%),42.52,49.48,49.62,48.16,44.54,48.36,48.87,48.65
발행주식수(보통주),"115,858,891","115,858,891","115,858,891","115,858,891","115,858,891",,,
