주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"55,857","59,376","71,542","68,728","73,514","81,302","86,865","91,904"
영업이익,"4,684","4,338","4,838","3,158","3,258","3,370","4,878","5,671"
영업이익(발표기준),"4,684","4,338","4,838","3,158","3,258",,,
세전계속사업이익,"4,215","3,796","4,073","1,398","3,546","3,172","4,633","5,485"
당기순이익,"2,984","2,837","3,226","1,135","3,107","2,513","3,656","4,345"
  당기순이익(지배),"2,886","2,776","3,185","1,104","3,085","2,431","3,551","4,226"
  당기순이익(비지배),98,61,41,31,22,,,
자산총계,"41,196","53,558","70,824","78,074","82,337","85,600","88,534","92,157"
부채총계,"20,881","32,241","47,449","55,680","57,571","60,078","61,263","62,616"
자본총계,"20,314","21,317","23,375","22,394","24,767","25,523","27,271","29,542"
  자본총계(지배),"19,787","20,367","22,168","21,174","23,432","24,088","25,684","27,689"
  자본총계(비지배),528,,"1,207","1,220","1,334",,,
자본금,534,534,534,534,534,531,531,531
영업활동현금흐름,"5,667","4,713","7,784","7,956","6,363","6,928","8,518","9,057"
투자활동현금흐름,"-3,465","-5,767","-19,353","-5,945","-5,573","-5,446","-5,889","-6,058"
재무활동현금흐름,-562,"5,637","8,294","4,846",-242,"-1,583","-1,804","-1,789"
CAPEX,"3,221","4,197","4,414","4,020","3,877","4,068","4,296","4,506"
FCF,"2,445",515,"3,370","3,935","2,486","1,826","3,463","3,862"
이자발생부채,"7,569","16,720","27,340","34,297","37,228",,,
영업이익률,8.39,7.31,6.76,4.59,4.43,4.15,5.62,6.17
순이익률,5.34,4.78,4.51,1.65,4.23,3.09,4.21,4.73
ROE(%),15.16,13.83,14.98,5.09,13.83,10.23,14.27,15.84
ROA(%),7.48,5.99,5.19,1.52,3.87,2.99,4.20,4.81
부채비율,102.79,151.25,202.99,248.63,232.45,235.39,224.65,211.95
자본유보율,"3,843.05","4,042.99","4,305.47","4,208.38","4,416.20",,,
EPS(원),541,520,597,207,578,455,665,792
PER(배),25.71,20.76,18.69,78.59,23.27,24.81,16.98,14.27
BPS(원),"3,707","3,816","4,153","3,968","4,391","4,514","4,813","5,188"
PBR(배),3.75,2.83,2.68,4.10,3.06,2.50,2.35,2.18
현금DPS(원),305,320,320,320,360,361,377,384
현금배당수익률,2.19,2.96,2.87,1.97,2.68,3.20,3.34,3.40
현금배당성향(%),56.42,61.52,53.63,154.74,62.27,79.33,56.65,48.48
발행주식수(보통주),"533,800,000","533,800,000","533,800,000","533,800,000","533,800,000",,,
