주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"111,018","96,444","83,587","70,302","44,866","62,436","79,111","102,100"
영업이익,"7,330","10,248","2,928","1,534","-17,547",-704,"2,956","5,355"
영업이익(발표기준),"7,330","10,248","2,928","1,534","-17,547",,,
세전계속사업이익,"11,890","3,677",-489,783,"-17,275","-1,462","2,197","4,716"
당기순이익,"6,458","3,201",-465,866,"-16,998","-1,212","1,842","3,566"
  당기순이익(지배),"6,215","3,447",-465,866,"-16,998","-1,212","1,842","3,566"
  당기순이익(비지배),243,-247,,,,,,
자산총계,"114,468","119,185","112,761","103,208","106,232","104,802","113,127","152,080"
부채총계,"84,561","80,783","75,212","64,518","84,056","80,888","87,245","125,360"
자본총계,"29,907","38,402","37,549","38,690","22,176","23,913","25,882","26,720"
  자본총계(지배),"33,934","38,402","37,549","38,690","22,176","24,771","26,978","31,000"
  자본총계(비지배),"-4,028",,,,,,,
자본금,"5,383","5,410","5,410","5,415","5,415","5,412","5,412","5,412"
영업활동현금흐름,"-10,199","7,251","25,421","-4,585","4,858",-814,780,"5,977"
투자활동현금흐름,227,-132,"-4,845","1,378","1,013","-1,268","-1,364","-1,244"
재무활동현금흐름,"9,879","-5,659","-3,951","-3,081","-1,570",20,669,"-1,460"
CAPEX,"1,088","1,481","1,570","1,899","1,003","1,100","1,075","1,355"
FCF,"-11,287","5,771","23,851","-6,483","3,855","-1,417",663,"4,414"
이자발생부채,"37,544","32,054","29,641","27,731","27,797",,,
영업이익률,6.60,10.63,3.50,2.18,-39.11,-1.13,3.74,5.24
순이익률,5.82,3.32,-0.56,1.23,-37.89,-1.94,2.33,3.49
ROE(%),28.12,9.53,-1.22,2.27,-55.85,-5.16,7.12,12.30
ROA(%),4.87,2.74,-0.40,0.80,-16.23,-1.15,1.69,2.69
부채비율,282.75,210.36,200.30,166.76,379.04,338.26,337.09,469.16
자본유보율,51.53,122.94,106.56,127.97,-181.66,,,
EPS(원),"7,447","3,219",-434,807,"-15,843","-1,129","1,717","3,323"
PER(배),1.87,10.61,N/A,33.94,N/A,N/A,14.06,7.27
BPS(원),"31,821","35,826","35,030","36,066","20,672","23,091","25,149","28,898"
PBR(배),0.44,0.95,0.80,0.76,1.12,1.05,0.96,0.84
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"106,656,288","107,205,752","107,205,752","107,290,669","107,290,669",,,
