주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"11,764","20,020","27,133","45,197","58,662","44,289","42,962","42,091"
영업이익,"3,158","2,890","4,737","9,690","12,089","9,129","9,789","10,395"
영업이익(발표기준),"3,158","2,890","4,737","9,690","12,089",,,
세전계속사업이익,"3,231","2,810","4,922","9,839","12,343","9,243","9,964","10,565"
당기순이익,"2,416","1,932","3,620","7,062","9,102","6,669","7,407","7,878"
  당기순이익(지배),"2,402","1,932","3,628","7,034","9,037","6,642","7,347","7,814"
  당기순이익(비지배),14,0,-7,28,65,,,
자산총계,"124,189","186,643","239,438","375,909","453,011","480,961","522,668","528,349"
부채총계,"108,718","165,986","216,854","347,060","409,992","431,678","467,051","465,109"
자본총계,"15,472","20,658","22,584","28,849","43,019","49,252","55,584","63,183"
  자본총계(지배),"15,246","20,415","22,340","28,567","42,652","48,615","55,257","62,508"
  자본총계(비지배),226,243,245,282,366,,,
자본금,"1,105","1,270","1,270","1,276","1,452","1,450","1,450","1,450"
영업활동현금흐름,"-8,277","-15,001","-30,120","-14,212","-35,285",,,
투자활동현금흐름,"-2,922","-7,200","-2,747","-1,051","-3,147",,,
재무활동현금흐름,"11,440","25,195","30,761","21,266","40,301",,,
CAPEX,85,148,82,155,155,,,
FCF,,,,,,,,
이자발생부채,"20,496","37,990","47,553","58,690","83,987",,,
영업이익률,26.85,14.43,17.46,21.44,20.61,20.61,22.79,24.70
순이익률,20.54,9.65,13.34,15.62,15.52,15.06,17.24,18.72
ROE(%),17.36,10.84,16.97,27.63,25.38,14.55,14.15,13.27
ROA(%),2.23,1.24,1.70,2.29,2.18,1.43,1.48,1.50
부채비율,702.68,803.50,960.20,"1,203.02",953.06,876.46,840.27,736.13
자본유보율,"1,300.18","1,527.05","1,709.66","2,191.17","2,889.20",,,
EPS(원),"10,870","7,750","14,287","27,681","32,813","22,866","25,296","26,904"
PER(배),8.06,10.09,5.56,4.57,3.26,3.75,3.39,3.19
BPS(원),"68,988","80,397","89,743","114,155","149,422","173,346","197,031","222,886"
PBR(배),1.27,0.97,0.89,1.11,0.72,0.49,0.44,0.38
현금DPS(원),"1,300","1,500","2,000","3,000","3,500","3,157","3,342","3,450"
현금배당수익률,1.48,1.92,2.52,2.37,3.27,3.68,3.89,4.02
현금배당성향(%),11.96,24.69,15.92,10.98,11.59,12.46,11.92,11.58
발행주식수(보통주),"22,099,740","22,099,740","22,099,740","24,028,641","26,219,513",,,
