주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"8,248","8,480","8,476","8,192","9,633","9,760","10,304","11,320"
영업이익,"1,993","2,115","1,709","1,578","2,283","2,078","2,322","3,120"
영업이익(발표기준),"1,993","2,115","1,709","1,578","2,283",,,
세전계속사업이익,"2,727","2,216","1,967","1,719","2,277","2,090","2,335","3,140"
당기순이익,"2,425","2,184","1,633","1,796","2,000","1,730","1,940","2,740"
  당기순이익(지배),"2,331","2,071","1,513","1,695","1,972","1,665","1,860","2,630"
  당기순이익(비지배),94,113,120,101,28,,,
자산총계,"33,161","34,986","36,071","37,925","40,812","43,900","47,220","50,980"
부채총계,"2,564","2,627","2,285","2,920","3,458","4,710","6,120","7,290"
자본총계,"30,597","32,359","33,786","35,005","37,355","39,200","41,100","43,690"
  자본총계(지배),"29,846","31,493","32,808","33,893","37,356","39,130","40,950","43,440"
  자본총계(비지배),750,,978,"1,112",-1,,,
자본금,465,465,465,465,475,470,470,470
영업활동현금흐름,"1,229",609,948,"1,299",361,"2,970","3,170","4,000"
투자활동현금흐름,"-2,129",-17,"-1,340","-1,039",-667,"-2,360","-2,420","-2,430"
재무활동현금흐름,-60,96,-560,-31,-190,310,700,550
CAPEX,232,213,994,314,173,"1,030","1,030","1,030"
FCF,997,396,-45,986,188,,,
이자발생부채,500,864,759,"1,203","1,477",,,
영업이익률,24.16,24.94,20.16,19.26,23.70,21.29,22.54,27.56
순이익률,29.40,25.75,19.27,21.93,20.76,17.72,18.83,24.20
ROE(%),8.05,6.75,4.71,5.08,5.53,4.35,4.64,6.23
ROA(%),7.56,6.41,4.60,4.86,5.08,4.08,4.26,5.58
부채비율,8.38,8.12,6.76,8.34,9.26,12.02,14.89,16.69
자본유보율,"6,449.13","6,829.65","7,096.88","7,397.47","7,779.51",,,
EPS(원),"2,506","2,226","1,627","1,822","2,087","1,754","1,959","2,770"
PER(배),7.54,7.46,8.85,8.04,7.52,8.01,7.17,5.07
BPS(원),"32,549","34,346","35,779","36,963","39,349","41,218","43,135","45,758"
PBR(배),0.58,0.48,0.40,0.40,0.40,0.34,0.33,0.31
현금DPS(원),300,300,350,500,600,700,800,900
현금배당수익률,1.59,1.81,2.43,3.41,3.82,4.98,5.69,6.41
현금배당성향(%),11.80,13.28,21.21,27.05,28.89,39.91,40.83,32.49
발행주식수(보통주),"93,020,173","93,020,173","93,020,173","93,020,173","94,935,240",,,
