주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"48,098","50,986","52,795","52,124","55,807",,,
영업이익,"5,943","7,498","8,069","7,482","10,920","12,336","13,253","13,729"
영업이익(발표기준),"5,943","7,498","8,069","7,482","10,920",,,
세전계속사업이익,"5,578","7,186","7,934","7,344","11,232","12,553","13,264","13,752"
당기순이익,"4,250","5,381","5,989","5,626","8,342","9,225","9,725","10,108"
  당기순이익(지배),"4,031","5,021","5,622","5,193","7,910","8,648","9,114","9,343"
  당기순이익(비지배),219,360,367,432,432,,,
자산총계,"943,500","987,936","1,045,388","1,141,569","1,282,870","1,370,901","1,442,652","1,513,441"
부채총계,"866,940","903,686","953,576","1,045,306","1,180,639","1,263,575","1,327,244","1,390,826"
자본총계,"76,560","84,250","91,812","96,263","102,232","108,548","115,900","122,614"
  자본총계(지배),"70,576","76,270","82,837","87,288","93,257","99,141","105,766","112,185"
  자본총계(비지배),"5,985",,"8,975","8,975","8,975",,,
자본금,"16,297","16,297","16,297","16,297","16,297","16,300","16,300","16,300"
영업활동현금흐름,"15,302","3,544","-4,886","-11,515","-11,165",,,
투자활동현금흐름,"-4,273","-8,538","-8,529","-15,557","-13,794",,,
재무활동현금흐름,"-9,320","6,364","13,395","27,285","26,911",,,
CAPEX,"1,513","1,253","1,092",864,996,,,
FCF,,,,,,,,
이자발생부채,"127,531","124,314","138,285","163,611","196,412",,,
영업이익률,12.36,14.71,15.28,14.35,19.57,,,
순이익률,8.83,10.55,11.34,10.79,14.95,,,
ROE(%),5.83,6.84,7.07,6.11,8.76,8.99,8.90,8.57
ROA(%),0.45,0.56,0.59,0.51,0.69,0.70,0.69,0.68
부채비율,"1,132.36","1,072.63","1,038.62","1,085.89","1,154.86","1,164.08","1,145.16","1,134.31"
자본유보율,369.80,416.99,463.39,491.12,527.74,,,
EPS(원),"1,237","1,540","1,725","1,593","2,427","2,653","2,796","2,866"
PER(배),7.62,4.76,4.44,3.56,3.46,2.84,2.69,2.63
BPS(원),"21,654","23,401","25,416","26,905","28,745","30,558","32,600","34,579"
PBR(배),0.44,0.31,0.30,0.21,0.29,0.25,0.23,0.22
현금DPS(원),230,300,360,320,560,632,681,709
현금배당수익률,2.44,4.09,4.70,5.63,6.67,8.39,9.04,9.41
현금배당성향(%),18.60,19.47,20.87,19.99,22.97,23.81,24.35,24.73
발행주식수(보통주),"325,935,246","325,935,246","325,935,246","325,935,246","325,935,246",,,
