주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"18,867","32,339","28,521","23,905","32,843","34,825","36,690","38,027"
영업이익,952,"2,087","1,578",874,"1,607","1,870","2,165","2,343"
영업이익(발표기준),952,"2,087","1,578",874,"1,607",,,
세전계속사업이익,698,"1,764",705,111,"1,576","1,642","1,942","2,023"
당기순이익,466,"1,411",509,85,"1,264","1,230","1,450","1,497"
  당기순이익(지배),466,899,32,-96,"1,135","1,105","1,325","1,370"
  당기순이익(비지배),,511,477,182,130,,,
자산총계,"22,287","31,265","31,881","33,559","35,543","35,790","37,065","37,607"
부채총계,"10,577","15,583","16,109","17,683","20,065","18,735","18,575","19,090"
자본총계,"11,709","15,682","15,771","15,875","15,478","17,058","18,488","18,520"
  자본총계(지배),"11,717","12,360","12,107","12,183","13,267","14,198","15,420","16,043"
  자본총계(비지배),-8,,"3,665","3,692","2,211",,,
자본금,494,985,985,985,985,990,990,990
영업활동현금흐름,75,-596,"1,553","2,748","-1,960","1,688","1,545","2,293"
투자활동현금흐름,"-1,046","-2,571","-3,635","1,359",872,-608,-738,-777
재무활동현금흐름,"2,251","2,177","1,080",829,"-1,753",-650,-148,-630
CAPEX,262,710,951,981,645,663,663,663
FCF,-187,"-1,307",602,"1,766","-2,605",787,"1,060","1,035"
이자발생부채,"6,738","9,659","11,453","12,379","12,765",,,
영업이익률,5.05,6.45,5.53,3.66,4.89,5.37,5.90,6.16
순이익률,2.47,4.36,1.78,0.36,3.85,3.53,3.95,3.94
ROE(%),,7.47,0.26,-0.80,8.91,8.05,8.95,8.71
ROA(%),,5.27,1.61,0.26,3.66,3.45,3.98,4.01
부채비율,90.33,99.37,102.14,111.39,129.63,109.83,100.47,103.08
자본유보율,"2,165.01","1,116.74","1,097.96","1,089.30","1,209.75",,,
EPS(원),"3,835","4,565",164,-490,"5,759","5,609","6,726","6,954"
PER(배),22.12,9.35,182.52,N/A,7.04,7.30,6.09,5.89
BPS(원),"59,632","64,010","63,530","63,930","69,619","74,500","80,915","84,186"
PBR(배),1.42,0.67,0.47,0.51,0.58,0.55,0.51,0.49
현금DPS(원),0,850,0,0,"1,200",900,975,"1,467"
현금배당수익률,0.00,1.99,0.00,0.00,2.96,2.20,2.38,3.58
현금배당성향(%),0.00,18.27,0.00,0.00,20.16,16.05,14.50,21.09
발행주식수(보통주),"19,700,793","19,700,793","19,700,793","19,700,793","19,700,793",,,
