주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"17,772","18,663","20,506","22,521","24,227","26,357","28,227","30,648"
영업이익,"1,212","1,124","1,259","1,599","2,455","2,792","3,039","3,373"
영업이익(발표기준),"1,212","1,124","1,259","1,599","2,455",,,
세전계속사업이익,448,386,390,576,"1,504","1,801","2,001","2,347"
당기순이익,286,300,288,415,"1,136","1,343","1,493","1,744"
  당기순이익(지배),277,315,317,460,"1,188","1,392","1,550","1,815"
  당기순이익(비지배),8,-15,-28,-44,-52,,,
자산총계,"41,811","47,662","53,620","53,494","61,250","64,044","65,532","66,516"
부채총계,"35,877","41,116","46,938","46,430","48,877","50,383","50,716","50,017"
자본총계,"5,934","6,546","6,682","7,064","12,373","13,660","14,816","16,499"
  자본총계(지배),"5,903","6,462","6,617","7,041","12,293","13,830","15,094","16,560"
  자본총계(비지배),31,84,65,22,80,,,
자본금,588,588,588,588,"1,832","2,079","2,079","2,244"
영업활동현금흐름,"-4,439","-3,735","-2,942",250,386,"7,152","6,750","7,223"
투자활동현금흐름,219,"-1,811",-269,-467,"-1,757","-6,270","-5,023","-4,606"
재무활동현금흐름,"6,098","4,879","3,357",-698,"1,640","1,517",-299,-739
CAPEX,276,171,150,166,273,"5,328","4,773","4,350"
FCF,"-4,715","-3,907","-3,093",84,113,"1,807","1,965","2,925"
이자발생부채,"29,745","34,292","39,867","39,332","40,626",,,
영업이익률,6.82,6.02,6.14,7.10,10.13,10.59,10.77,11.01
순이익률,1.61,1.61,1.41,1.84,4.69,5.10,5.29,5.69
ROE(%),4.76,5.10,4.84,6.73,12.28,10.65,10.72,11.47
ROA(%),0.74,0.67,0.57,0.78,1.98,2.14,2.30,2.64
부채비율,604.57,628.10,702.40,657.31,395.02,368.83,342.31,303.16
자본유보율,956.20,"1,002.43","1,027.17","1,103.18",577.21,,,
EPS(원),943,"1,072","1,077","1,562","3,685","3,798","4,231","4,954"
PER(배),,,,,10.34,10.25,9.21,7.86
BPS(원),"20,062","21,963","22,490","23,931","33,557","37,753","41,202","45,205"
PBR(배),0.00,0.00,0.00,0.00,1.14,1.03,0.95,0.86
현금DPS(원),0,0,72,120,900,976,"1,002","1,000"
현금배당수익률,,,,,2.36,2.51,2.57,2.57
현금배당성향(%),0.00,0.00,6.69,7.68,27.76,25.70,23.68,20.19
발행주식수(보통주),"29,423,000","29,423,000","29,423,000","29,423,000","36,634,063",,,
