주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"17,794","25,540","20,743","18,827","25,149","28,423","29,143","28,964"
영업이익,"2,842","3,188","1,138","1,702","1,794",564,"1,742","1,762"
영업이익(발표기준),"2,842","3,188","1,138","1,702","1,794",,,
세전계속사업이익,"2,801","3,364","1,277","1,677","1,982",767,"1,955","2,003"
당기순이익,"2,145","2,574","1,063","1,272","1,499",588,"1,491","1,528"
  당기순이익(지배),"2,143","2,574","1,063","1,272","1,499",588,"1,491","1,528"
  당기순이익(비지배),1,,,,,,,
자산총계,"19,706","19,839","20,265","21,276","24,789","24,938","26,577","27,722"
부채총계,"4,974","2,828","2,479","2,334","4,497","4,261","4,582","4,430"
자본총계,"14,732","17,011","17,786","18,941","20,291","20,677","21,996","23,292"
  자본총계(지배),"14,732","17,011","17,786","18,941","20,291","20,664","21,980","23,242"
  자본총계(비지배),,,,,,,,
자본금,410,410,410,410,410,410,410,410
영업활동현금흐름,"2,279","3,509","2,303","3,032","3,090","2,292","3,221","3,390"
투자활동현금흐름,"-3,064","-1,166","-1,566","-1,387","-2,977","-2,348","-1,687","-1,371"
재무활동현금흐름,11,"-1,902",-293,-128,-197,-139,-162,-367
CAPEX,"3,183","1,258","1,639",876,"1,197","2,422","1,430","1,124"
FCF,-905,"2,251",665,"2,156","1,893",-607,"1,344","1,787"
이자발생부채,"2,215",560,619,678,697,,,
영업이익률,15.97,12.48,5.49,9.04,7.13,1.98,5.98,6.08
순이익률,12.05,10.08,5.13,6.76,5.96,2.07,5.12,5.27
ROE(%),15.53,16.22,6.11,6.93,7.64,2.87,7.00,6.76
ROA(%),11.49,13.02,5.30,6.13,6.51,2.37,5.79,5.63
부채비율,33.76,16.63,13.94,12.32,22.16,20.61,20.83,19.02
자본유보율,"3,507.37","4,063.24","4,252.26","4,534.36","4,859.29",,,
EPS(원),"32,972","39,602","16,360","19,576","23,067","9,052","22,945","23,502"
PER(배),7.99,3.88,7.18,11.75,7.93,16.13,6.36,6.21
BPS(원),"238,533","275,432","287,983","306,685","328,546","334,576","355,884","376,326"
PBR(배),1.10,0.56,0.41,0.75,0.56,0.44,0.41,0.39
현금DPS(원),"4,000","4,000","2,500","3,000","3,500","2,600","3,880","3,880"
현금배당수익률,1.52,2.61,2.13,1.30,1.91,1.78,2.66,2.66
현금배당성향(%),11.53,9.60,14.52,14.56,14.42,28.72,16.91,16.51
발행주식수(보통주),"6,500,000","6,500,000","6,500,000","6,500,000","6,500,000",,,
