주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"74,874","78,805","73,146","65,922","75,277","81,249","86,794","92,053"
영업이익,167,50,"1,019",720,"1,027","2,060","2,680","3,119"
영업이익(발표기준),167,50,"1,019",720,"1,027",,,
세전계속사업이익,-971,-706,495,845,"1,007","1,927","2,706","3,107"
당기순이익,-630,-556,552,537,561,"1,417","1,997","2,282"
  당기순이익(지배),-630,-556,552,610,623,"1,521","2,103","2,395"
  당기순이익(비지배),,,,-73,-62,,,
자산총계,"71,937","71,074","67,743","77,199","77,495","79,645","82,363","85,856"
부채총계,"40,536","40,705","36,825","41,940","40,542","41,636","42,424","43,131"
자본총계,"31,401","30,369","30,918","35,259","36,953","38,008","39,939","42,724"
  자본총계(지배),"31,401","30,369","30,918","31,181","32,500","33,830","35,975","38,875"
  자본총계(비지배),,,,"4,078","4,453",,,
자본금,"1,360","1,360","1,360","1,360","1,360","1,354","1,354","1,360"
영업활동현금흐름,727,"-1,133","4,442","1,891","2,903","3,374","4,095","4,473"
투자활동현금흐름,"-2,344","-4,639","-2,488","-3,247","-2,003","-2,955","-2,903","-3,100"
재무활동현금흐름,"3,112",-209,"-1,521","3,329","-2,418",-33,-217,-391
CAPEX,"3,081","1,740","1,784","2,516","1,516","1,993","2,166","2,408"
FCF,"-2,354","-2,874","2,658",-625,"1,387",799,"1,576","1,837"
이자발생부채,"22,528","22,795","21,617","27,811","25,423",,,
영업이익률,0.22,0.06,1.39,1.09,1.37,2.54,3.09,3.39
순이익률,-0.84,-0.71,0.76,0.81,0.75,1.74,2.30,2.48
ROE(%),-1.97,-1.80,1.80,1.96,1.96,4.59,6.02,6.40
ROA(%),-0.89,-0.78,0.80,0.74,0.73,1.80,2.46,2.71
부채비율,129.09,134.03,119.11,118.95,109.72,109.55,106.22,100.95
자본유보율,"2,285.12","2,221.65","2,243.08","2,275.51","2,318.09",,,
EPS(원),"-2,317","-2,043","2,030","2,242","2,292","5,592","7,732","8,805"
PER(배),N/A,N/A,24.73,23.86,34.87,11.93,8.63,7.58
BPS(원),"118,219","114,335","116,401","117,390","122,356","127,363","135,441","146,358"
PBR(배),0.55,0.32,0.43,0.46,0.65,0.52,0.49,0.46
현금DPS(원),600,600,700,700,700,746,785,840
현금배당수익률,0.92,1.66,1.39,1.31,0.88,1.12,1.18,1.26
현금배당성향(%),-25.30,-28.68,33.68,30.50,29.84,13.34,10.15,9.54
발행주식수(보통주),"27,195,083","27,195,083","27,195,083","27,195,083","27,195,083",,,
