주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"42,155","44,532","52,641","53,214","64,151","71,409","76,101","79,618"
영업이익,829,532,"1,652","2,439","3,830","3,787","4,270","4,518"
영업이익(발표기준),829,532,"1,652","2,439","3,830",,,
세전계속사업이익,178,535,"1,563","1,718","4,053","3,470","4,013","4,165"
당기순이익,-477,493,"1,624","1,647","3,018","2,651","3,036","3,152"
  당기순이익(지배),-482,323,"1,322","1,214","2,526","2,233","2,558","2,990"
  당기순이익(비지배),5,169,302,433,492,,,
자산총계,"57,476","73,967","87,084","94,648","110,458","114,596","117,980","120,690"
부채총계,"35,666","47,609","58,531","64,751","71,143","73,806","74,695","74,379"
자본총계,"21,810","26,358","28,554","29,897","39,316","40,790","43,283","46,310"
  자본총계(지배),"21,794","23,696","24,861","25,977","28,892","30,166","32,446","35,600"
  자본총계(비지배),16,,"3,693","3,920","10,423",,,
자본금,"2,656","2,656","2,656","2,656","2,656","2,659","2,659","2,659"
영업활동현금흐름,-97,563,"7,151","4,348","9,900","2,383","3,830","5,196"
투자활동현금흐름,726,"-2,131","-6,435","-2,987","-6,071","-3,971","-3,563","-2,628"
재무활동현금흐름,"1,404","3,327","2,894","1,990","8,131",324,-39,-362
CAPEX,"1,416","1,725","1,538","1,894","1,661","1,911","1,966","1,848"
FCF,"-1,514","-1,161","5,613","2,454","8,239",-607,"1,033","2,504"
이자발생부채,"13,447","17,341","21,753","24,781","27,806",,,
영업이익률,1.97,1.19,3.14,4.58,5.97,5.30,5.61,5.67
순이익률,-1.13,1.11,3.09,3.10,4.70,3.71,3.99,3.96
ROE(%),-2.14,1.42,5.45,4.78,9.21,7.56,8.17,8.79
ROA(%),-0.84,0.75,2.02,1.81,2.94,2.36,2.61,2.64
부채비율,163.53,180.63,204.99,216.58,180.95,180.94,172.57,160.61
자본유보율,556.35,667.34,710.70,750.60,843.51,,,
EPS(원),-913,619,"2,555","2,388","4,989","4,410","5,053","5,906"
PER(배),N/A,52.55,13.72,11.93,9.62,12.00,10.47,8.96
BPS(원),"41,433","45,535","48,217","51,329","57,134","59,652","64,161","70,398"
PBR(배),0.86,0.71,0.73,0.56,0.84,0.89,0.82,0.75
현금DPS(원),0,0,0,600,700,711,778,840
현금배당수익률,0.00,0.00,0.00,2.11,1.46,1.34,1.47,1.59
현금배당성향(%),0.00,0.00,0.00,25.01,14.01,16.13,15.39,14.22
발행주식수(보통주),"52,600,000","52,040,000","51,560,000","50,630,000","50,630,000",,,
