주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"18,330","15,968","7,706","12,004","16,084","21,662","23,304","31,305"
영업이익,"3,245","3,802",715,"2,090","3,108","3,851","4,011","4,958"
영업이익(발표기준),"3,245","3,802",715,"2,090","3,108",,,
세전계속사업이익,"2,749","3,348",716,"1,565","1,677","3,236","3,482","4,358"
당기순이익,"1,950","2,438",743,"1,416","1,107","2,232","2,378","3,182"
  당기순이익(지배),"1,952","2,452",661,"1,242","1,050","2,038","2,195","2,598"
  당기순이익(비지배),-2,-14,82,174,57,,,
자산총계,"22,722","21,827","28,838","36,215","35,098","39,261","41,573","41,690"
부채총계,"11,661","10,749","16,102","22,315","20,529","22,582","22,710","20,410"
자본총계,"11,060","11,078","12,736","13,900","14,569","16,679","18,862","21,280"
  자본총계(지배),"10,647","10,667","10,983","11,774","12,401","14,234","16,159","17,720"
  자본총계(비지배),413,411,"1,753","2,127","2,168",,,
자본금,154,154,154,154,154,151,151,150
영업활동현금흐름,"1,113","2,561",-687,"-1,144","2,242","2,301","2,252","2,500"
투자활동현금흐름,"-1,379","-1,909",-817,"-2,098",-787,"-1,154",-779,170
재무활동현금흐름,506,"-1,059","2,526","4,080","-1,992",-584,-324,-370
CAPEX,835,787,675,198,365,450,470,0
FCF,278,"1,775","-1,363","-1,342","1,878",655,"1,690",
이자발생부채,"8,235","7,501","10,850","14,843","13,327",,,
영업이익률,17.71,23.81,9.27,17.41,19.32,17.78,17.21,15.84
순이익률,10.64,15.27,9.64,11.80,6.88,10.30,10.20,10.17
ROE(%),19.87,23.01,6.10,10.92,8.69,15.31,14.45,15.34
ROA(%),8.97,10.95,2.93,4.35,3.10,6.00,5.88,7.64
부채비율,105.44,97.03,126.44,160.53,140.91,135.39,120.40,95.91
자본유보율,"6,810.79","6,785.76","6,959.62","7,555.80","7,919.77",,,
EPS(원),"6,343","7,952","2,139","4,022","3,398","6,599","7,106","8,410"
PER(배),5.49,3.85,15.40,13.28,13.02,7.41,6.88,5.81
BPS(원),"34,576","34,612","35,591","38,672","40,644","46,653","52,964","58,079"
PBR(배),1.01,0.89,0.93,1.38,1.09,1.05,0.92,0.84
현금DPS(원),"1,100","1,200",700,"1,000","1,200","1,050","1,100","1,000"
현금배당수익률,3.16,3.92,2.12,1.87,2.71,2.15,2.25,2.04
현금배당성향(%),17.35,15.08,32.70,24.50,34.88,15.91,15.48,11.89
발행주식수(보통주),"30,827,281","30,853,371","30,892,606","30,892,606","30,892,606",,,
