주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"260,871","234,305","249,785","262,231","271,736","103,160",,
영업이익,"9,534","6,502",494,"3,437","13,520",,,
영업이익(발표기준),"9,534","6,502",494,"3,437","13,520",,,
세전계속사업이익,"9,645","6,364",349,"2,749","16,585","5,900","6,650","6,750"
당기순이익,"6,887","4,465",587,"2,082","12,492","4,717","5,070","5,010"
  당기순이익(지배),"5,849","4,153","1,004","2,021","11,913","4,770","4,725","4,810"
  당기순이익(비지배),"1,038",313,-418,61,578,,,
자산총계,"1,259,945","1,320,845","1,418,501","1,487,748","1,635,914","1,506,730","1,708,340","1,737,810"
부채총계,"1,157,564","1,206,548","1,278,568","1,356,202","1,501,718","1,386,885","1,570,290","1,596,200"
자본총계,"102,381","114,297","139,933","131,546","134,196","118,057","128,010","141,610"
  자본총계(지배),"93,516","103,069","126,859","118,769","112,738","107,955","111,230","120,800"
  자본총계(비지배),"8,865",,"13,074","12,777","21,457",,,
자본금,"43,426","43,426","43,426","43,426","43,426","43,430",,
영업활동현금흐름,"33,187","16,429","10,075","15,144","55,610",,,
투자활동현금흐름,"-40,662","-18,322","-21,729","-13,493","-54,314",,,
재무활동현금흐름,"4,806","14,334","2,731",-556,"1,516",,,
CAPEX,"1,137","1,673","1,017",,,,,
FCF,,,,,,,,
이자발생부채,"3,419","6,903","5,560","5,526","69,873",,,
영업이익률,3.65,2.77,0.20,1.31,4.98,,,
순이익률,2.64,1.91,0.24,0.79,4.60,4.57,,
ROE(%),7.70,4.54,0.51,1.70,10.79,4.32,4.31,4.15
ROA(%),0.56,0.35,0.04,0.14,0.80,0.30,0.32,0.29
부채비율,"1,130.64","1,055.63",913.70,"1,030.97","1,119.05","1,174.76","1,226.69","1,127.18"
자본유보율,157.04,184.47,243.51,224.20,230.30,,,
EPS(원),673,478,116,233,"1,372",549,544,554
PER(배),10.26,8.83,19.98,10.49,2.14,4.65,4.70,4.61
BPS(원),"12,446","13,717","16,883","15,807","15,004","14,367","14,803","16,077"
PBR(배),0.56,0.31,0.14,0.15,0.20,0.18,0.17,0.16
현금DPS(원),140,100,30,30,,57,51,62
현금배당수익률,2.03,2.37,1.30,1.23,,2.24,1.98,2.43
현금배당성향(%),17.98,18.09,22.45,11.15,,10.42,9.32,11.20
발행주식수(보통주),"868,530,000","868,530,000","868,530,000","868,530,000","868,530,000",,,
