주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"25,303","29,546","34,504","31,288","37,940","39,670","40,980","41,234"
영업이익,"2,175","3,571","4,707","3,411","4,929","5,129","5,487","5,456"
영업이익(발표기준),"2,175","3,571","4,707","3,411","4,929",,,
세전계속사업이익,"1,818","3,371","4,713","3,399","5,128","5,305","5,726","5,661"
당기순이익,"1,081","2,100","3,381","1,977","3,378","3,790","4,095","3,860"
  당기순이익(지배),624,"1,435","2,668","1,390","2,352","2,698","2,930","2,719"
  당기순이익(비지배),457,665,714,587,"1,026",,,
자산총계,"30,789","33,043","37,702","37,584","42,889","44,617","47,186","47,652"
부채총계,"18,446","17,978","19,693","19,011","19,824","18,940","18,309","17,046"
자본총계,"12,343","15,065","18,009","18,573","23,065","25,677","28,878","30,605"
  자본총계(지배),"7,990","9,917","12,497","12,924","16,109","18,200","20,748","21,930"
  자본총계(비지배),"4,353","5,148","5,513","5,649","6,955",,,
자본금,611,611,611,611,611,610,610,610
영업활동현금흐름,300,"2,746","3,191","4,450","5,246","4,212","4,058","4,238"
투자활동현금흐름,-516,-246,-359,-552,-396,-608,-713,-694
재무활동현금흐름,222,"-2,144","-1,902","-1,345","-2,972","-1,080","-1,008","-1,466"
CAPEX,393,847,467,393,502,511,558,330
FCF,-94,"1,899","2,724","4,057","4,744","3,635","2,826","4,090"
이자발생부채,"11,466","9,832","10,637","10,025","8,320",,,
영업이익률,8.59,12.09,13.64,10.90,12.99,12.93,13.39,13.23
순이익률,4.27,7.11,9.80,6.32,8.90,9.55,9.99,9.36
ROE(%),7.53,16.03,23.80,10.94,16.20,15.73,15.05,12.74
ROA(%),3.35,6.58,9.56,5.25,8.40,8.66,8.92,8.14
부채비율,149.44,119.34,109.35,102.36,85.95,73.76,63.40,55.70
자본유보율,"1,304.79","1,538.42","1,930.66","2,105.04","2,477.43",,,
EPS(원),"1,030","2,349","4,365","2,286","3,872","4,442","4,823","4,476"
PER(배),15.85,22.78,12.14,19.11,9.26,6.72,6.19,6.67
BPS(원),"13,074","16,226","20,545","21,506","26,806","30,285","34,525","36,491"
PBR(배),1.25,3.30,2.58,2.03,1.34,0.99,0.86,0.82
현금DPS(원),50,50,219,185,"1,000",351,362,
현금배당수익률,0.31,0.09,0.41,0.42,2.79,1.17,1.21,
현금배당성향(%),4.90,2.13,4.99,8.00,25.55,7.90,7.51,
발행주식수(보통주),"61,115,070","61,115,070","61,115,070","60,752,222","60,752,222",,,
