주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"22,083","22,364","23,439","26,398","26,630","28,625","30,086","31,201"
영업이익,964,886,788,"1,603","1,061","1,264","1,446","1,526"
영업이익(발표기준),964,886,788,"1,603","1,061",,,
세전계속사업이익,"1,194","1,123","1,035","1,906","1,368","1,561","1,741","1,784"
당기순이익,907,843,711,"1,490",996,"1,155","1,300","1,336"
  당기순이익(지배),907,843,710,"1,485",998,"1,169","1,304","1,340"
  당기순이익(비지배),0,0,1,5,-2,,,
자산총계,"24,499","25,323","26,530","27,255","28,999","29,724","31,076","32,426"
부채총계,"6,088","6,345","7,123","6,766","6,991","7,304","7,562","7,444"
자본총계,"18,411","18,978","19,407","20,490","22,008","22,421","23,513","24,982"
  자본총계(지배),"18,284","18,851","19,279","20,339","21,846","22,261","23,352","24,808"
  자본총계(비지배),127,,128,150,162,,,
자본금,304,304,304,304,304,302,302,304
영업활동현금흐름,"1,034","1,469","1,625","2,315","1,627","2,217","2,330","2,042"
투자활동현금흐름,-792,"-1,289",-307,"-1,320","-3,189","-1,464","-1,440",-778
재무활동현금흐름,-470,-58,178,-943,-253,-270,-281,-269
CAPEX,"1,282",882,"1,539","1,803","1,951","1,368","1,348",700
FCF,-248,587,85,512,-324,567,841,"1,318"
이자발생부채,682,883,"1,540",937,"1,058",,,
영업이익률,4.37,3.96,3.36,6.07,3.99,4.42,4.81,4.89
순이익률,4.11,3.77,3.03,5.65,3.74,4.04,4.32,4.28
ROE(%),5.01,4.54,3.72,7.50,4.73,5.30,5.72,5.56
ROA(%),3.68,3.38,2.74,5.54,3.54,3.93,4.28,4.21
부채비율,33.07,33.44,36.70,33.02,31.77,32.58,32.16,29.80
자본유보율,"6,274.87","6,454.97","6,571.96","6,975.62","7,246.61",,,
EPS(원),"14,905","13,858","11,672","24,416","16,412","19,220","21,431","22,024"
PER(배),23.75,18.37,20.61,12.29,19.41,15.76,14.14,13.76
BPS(원),"316,196","325,998","333,399","351,731","377,778","384,961","403,828","429,015"
PBR(배),1.12,0.78,0.72,0.85,0.84,0.79,0.75,0.71
현금DPS(원),"4,000","4,000","4,000",,"4,000","4,062","4,062","4,000"
현금배당수익률,1.13,1.57,1.66,,1.26,1.34,1.34,1.32
현금배당성향(%),25.51,27.44,32.58,15.57,23.17,21.14,18.96,18.16
발행주식수(보통주),"6,082,642","6,082,642","6,082,642","6,082,642","6,082,642",,,
