주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"10,431","10,177","20,604","21,264","22,099","23,102","23,670","23,810"
영업이익,"1,253","1,123","1,303","1,723","1,285","1,264","1,456","1,550"
영업이익(발표기준),"1,253","1,123","1,303","1,723","1,285",,,
세전계속사업이익,"1,618","1,856","1,257","1,789","1,544","1,425","1,695","1,930"
당기순이익,"1,225","1,666",832,"1,127","1,017","1,065","1,265","1,430"
  당기순이익(지배),"1,225","1,666",832,"1,127","1,017","1,065","1,265","1,430"
  당기순이익(비지배),,,,,,,,
자산총계,"18,754","25,627","25,038","26,931","26,003","27,175","28,245","29,260"
부채총계,"3,310","8,782","7,748","8,983","7,180","7,380","7,460","7,500"
자본총계,"15,444","16,845","17,290","17,948","18,824","19,795","20,785","21,760"
  자본총계(지배),"15,444","16,845","17,290","17,948","18,824","19,600","20,600","21,760"
  자본총계(비지배),,,,,,,,
자본금,600,600,600,600,600,600,600,600
영업활동현금흐름,279,18,324,"2,316",899,"1,635","1,785","1,840"
투자활동현금흐름,"1,227",583,-147,"-1,738",201,-920,-940,-850
재무활동현금흐름,"-1,258",-49,-637,377,"-2,013",-325,-395,-400
CAPEX,101,135,301,245,640,585,605,630
FCF,179,-117,23,"2,071",259,"1,050","1,175","1,210"
이자발생부채,0,"2,306","2,531","3,498","1,920",,,
영업이익률,12.02,11.04,6.33,8.10,5.81,5.47,6.15,6.51
순이익률,11.74,16.37,4.04,5.30,4.60,4.61,5.34,6.01
ROE(%),8.16,10.32,4.87,6.40,5.53,5.54,6.29,6.75
ROA(%),6.48,7.51,3.28,4.34,3.84,4.00,4.57,4.97
부채비율,21.43,52.13,44.81,50.05,38.14,37.28,35.89,34.47
자본유보율,"2,535.32","2,771.35","2,864.44","3,013.16","3,152.13",,,
EPS(원),"10,205","13,881","6,931","9,392","8,472","8,875","10,542","11,917"
PER(배),11.81,7.13,11.61,8.68,7.48,6.48,5.45,4.83
BPS(원),"132,142","144,125","147,933","156,782","164,432","171,213","179,948","190,081"
PBR(배),0.91,0.69,0.54,0.52,0.39,0.34,0.32,0.30
현금DPS(원),"1,700","1,900","2,000","2,200","2,400","2,300","2,400","2,400"
현금배당수익률,1.41,1.92,2.48,2.70,3.79,4.00,4.17,4.17
현금배당성향(%),16.22,13.33,28.11,22.35,27.02,25.91,22.77,20.14
발행주식수(보통주),"12,000,000","12,000,000","12,000,000","12,000,000","12,000,000",,,
