주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"9,387","57,759","59,461","61,813","67,812","74,050","79,076","83,838"
영업이익,265,"1,895","1,966","1,622","1,994","2,508","2,847","3,301"
영업이익(발표기준),265,"1,895","1,966","1,622","1,994",,,
세전계속사업이익,350,"2,025","2,011","1,631","1,925","2,481","2,870","3,332"
당기순이익,280,"1,542","1,514","1,227","1,476","1,882","2,170","2,518"
  당기순이익(지배),280,"1,542","1,514","1,227","1,476","1,881","2,171","2,517"
  당기순이익(비지배),,,,,,,,
자산총계,"12,774","14,826","21,724","23,712","25,964","28,653","30,385","32,045"
부채총계,"8,887","9,609","15,498","16,743","17,871","19,221","19,314","18,902"
자본총계,"3,886","5,217","6,226","6,968","8,093","9,433","11,070","13,142"
  자본총계(지배),"3,886","5,217","6,226","6,968","8,093","9,474","11,134","13,142"
  자본총계(비지배),,,,,,,,
자본금,173,173,173,173,173,171,171,171
영업활동현금흐름,-250,"3,458","5,328","5,073","5,381","5,151","5,192","5,384"
투자활동현금흐름,321,"-3,242","-2,939","-2,664","-2,391","-3,123","-2,950","-3,053"
재무활동현금흐름,-17,-150,"-2,462","-2,450","-2,686",-918,"-1,606","-1,604"
CAPEX,238,"1,806","1,670","1,730","1,621","2,185","2,242","2,522"
FCF,-487,"1,652","3,658","3,343","3,760","3,068","2,940","2,952"
이자발생부채,28,51,"5,555","6,196","7,230",,,
영업이익률,2.83,3.28,3.31,2.62,2.94,3.39,3.60,3.94
순이익률,2.98,2.67,2.55,1.98,2.18,2.54,2.74,3.00
ROE(%),,33.88,26.46,18.60,19.61,21.42,21.07,20.74
ROA(%),,11.17,8.28,5.40,5.94,6.89,7.35,8.06
부채비율,228.67,184.20,248.93,240.28,220.81,203.77,174.47,143.83
자본유보율,"2,026.93","2,788.51","3,372.48","3,803.31","4,439.53",,,
EPS(원),"9,688","8,921","8,758","7,100","8,542","10,885","12,559","14,563"
PER(배),21.68,22.87,19.35,19.09,17.03,17.91,15.53,13.39
BPS(원),"22,497","30,198","36,040","40,337","46,849","54,844","64,449","76,078"
PBR(배),9.33,6.76,4.70,3.36,3.11,3.56,3.03,2.56
현금DPS(원),"1,000","2,680","2,700","2,400","3,000","3,029","3,250","3,440"
현금배당수익률,0.48,1.31,1.59,1.77,2.06,1.55,1.67,1.76
현금배당성향(%),61.73,30.03,30.81,33.79,35.10,27.82,25.88,23.62
발행주식수(보통주),"17,283,906","17,283,906","17,283,906","17,283,906","17,283,906",,,
