주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"11,972","13,836","14,838","15,662","19,895","26,942","37,085","53,112"
영업이익,"1,040","1,063",899,603,"1,217","1,342","2,347","3,594"
영업이익(발표기준),"1,040","1,063",899,603,"1,217",,,
세전계속사업이익,"1,256","1,766","1,130",347,"1,460","1,636","2,498","3,769"
당기순이익,"1,040","1,328","1,012",297,"1,338","1,432","2,202","3,209"
  당기순이익(지배),"1,036","1,322","1,010",296,"1,342","1,443","2,207","3,214"
  당기순이익(비지배),4,6,1,2,-4,,,
자산총계,"8,358","9,476","17,301","20,881","39,225","47,168","57,326","68,975"
부채총계,"1,836","1,895","7,238","10,644","14,840","21,578","29,752","38,159"
자본총계,"6,522","7,581","10,063","10,236","24,384","25,590","27,574","30,816"
  자본총계(지배),"6,445","7,496","9,975","10,007","23,893","25,110","27,057","30,332"
  자본총계(비지배),77,,88,229,491,,,
자본금,295,295,305,305,387,389,389,390
영업활동현금흐름,555,846,628,383,"1,030","2,370","2,721","3,716"
투자활동현금흐름,-462,-387,"-4,647","-2,543","-16,750","-7,810","-10,036","-9,907"
재무활동현금흐름,-230,-294,"3,182","3,020","15,219","5,861","6,125","6,013"
CAPEX,594,"1,009","3,087","2,426","5,519","7,474","9,993","9,220"
FCF,-39,-163,"-2,459","-2,043","-4,489","-5,447","-8,093","-5,485"
이자발생부채,278,202,"4,825","8,414","11,021",,,
영업이익률,8.68,7.68,6.06,3.85,6.12,4.98,6.33,6.77
순이익률,8.68,9.59,6.82,1.90,6.72,5.31,5.94,6.04
ROE(%),17.16,18.96,11.57,2.96,7.92,5.89,8.46,11.20
ROA(%),13.33,14.89,7.56,1.56,4.45,3.31,4.21,5.08
부채비율,28.16,25.00,71.93,103.99,60.86,84.32,107.90,123.83
자본유보율,"2,094.19","2,446.59","3,174.65","3,192.15","6,069.07",,,
EPS(원),"1,666","2,126","1,588",461,"1,763","1,863","2,849","4,149"
PER(배),22.43,28.13,29.10,225.74,81.69,68.18,44.58,30.61
BPS(원),"10,366","12,057","15,540","15,589","30,845","32,415","34,928","39,156"
PBR(배),3.60,4.96,2.97,6.67,4.67,3.92,3.64,3.24
현금DPS(원),333,380,380,285,300,306,312,328
현금배당수익률,0.89,0.64,0.82,0.27,0.21,0.24,0.25,0.26
현금배당성향(%),19.96,17.88,24.14,61.87,17.32,16.42,10.95,7.91
발행주식수(보통주),"62,172,826","62,172,826","64,191,806","64,191,806","77,463,220",,,
