주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"79,012","52,651","73,497","68,603","66,220","71,113","83,341","85,914"
영업이익,"-5,242","-4,093","-6,166","-10,541","-13,120","-2,343","1,347","3,385"
영업이익(발표기준),"-5,242","-4,093","-6,166","-10,541","-13,120",,,
세전계속사업이익,"-4,639","-4,976","-11,392","-14,750","-13,498","-2,573",663,"2,993"
당기순이익,"-3,407","-3,882","-13,154","-14,927","-14,521","-2,365",477,"2,460"
  당기순이익(지배),"-3,388","-3,879","-13,108","-14,824","-14,451","-2,321",480,"2,456"
  당기순이익(비지배),-20,-3,-45,-103,-70,,,
자산총계,"138,181","142,829","136,001","129,222","121,386","123,848","129,098","130,427"
부채총계,"80,207","75,366","83,512","92,039","80,413","85,115","88,602","84,140"
자본총계,"57,975","67,463","52,489","37,182","40,973","38,733","40,495","46,287"
  자본총계(지배),"57,896","67,384","52,452","37,242","41,110","39,060","41,040","47,709"
  자본총계(비지배),79,,37,-60,-138,,,
자본금,"19,506","31,506","31,506","31,506","8,801","12,043","12,043","8,800"
영업활동현금흐름,"5,401","1,655","-6,812","-2,439","8,450","2,988","4,033","7,474"
투자활동현금흐름,-744,"3,693","-1,177","-1,668",998,370,783,"-2,148"
재무활동현금흐름,"-9,567",504,"3,657","10,114","-13,691","1,280",-300,"-1,284"
CAPEX,"1,079",690,772,978,394,"1,252","1,323","1,396"
FCF,"4,321",965,"-7,584","-3,418","8,056",-461,"2,345","3,246"
이자발생부채,"42,461","29,147","38,667","48,516","22,723",,,
영업이익률,-6.63,-7.77,-8.39,-15.37,-19.81,-3.29,1.62,3.94
순이익률,-4.31,-7.37,-17.90,-21.76,-21.93,-3.33,0.57,2.86
ROE(%),-5.62,-6.19,-21.88,-33.05,-36.89,-5.79,1.20,5.53
ROA(%),-2.20,-2.76,-9.44,-11.26,-11.59,-1.93,0.38,1.90
부채비율,138.35,111.72,159.10,247.54,196.26,219.75,218.80,181.78
자본유보율,247.28,145.91,104.71,57.72,469.56,,,
EPS(원),-716,-649,"-1,946","-2,201","-2,053",-264,55,279
PER(배),N/A,N/A,N/A,N/A,N/A,N/A,103.69,20.28
BPS(원),"12,953","10,404","8,099","5,750","4,813","4,573","4,805","5,586"
PBR(배),0.47,0.67,0.84,1.15,1.18,1.24,1.18,1.01
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"472,829,194","673,516,444","673,516,444","673,516,444","880,000,000",,,
