주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"19,423","20,183","21,515","22,233","23,125","24,233","25,480","26,880"
영업이익,"2,026","1,991","1,968","2,045","1,797","2,127","2,313","2,565"
영업이익(발표기준),"2,026","1,991","1,968","2,045","1,797",,,
세전계속사업이익,"1,914","1,986","1,925","1,874","1,707","2,050","2,243","2,485"
당기순이익,"1,433","1,030","1,466","1,421","1,290","1,553","1,697","1,875"
  당기순이익(지배),"1,433","1,030","1,466","1,421","1,290","1,553","1,697","1,875"
  당기순이익(비지배),0,0,0,0,0,,,
자산총계,"15,815","16,829","17,950","19,067","19,730","20,640","21,667","22,835"
부채총계,"3,737","4,205","4,674","5,225","5,301","5,587","5,777","5,930"
자본총계,"12,078","12,623","13,276","13,842","14,429","15,053","15,890","16,905"
  자본총계(지배),"12,078","12,623","13,276","13,842","14,429","15,053","15,890","16,905"
  자본총계(비지배),0,,0,0,0,,,
자본금,190,190,190,190,190,183,183,180
영업활동현금흐름,"2,942","2,370","2,798","3,464","3,333","3,390","3,250","3,740"
투자활동현금흐름,"-2,247","-1,762","-1,236","-2,299","-2,234","-1,820","-1,947","-2,070"
재무활동현금흐름,-423,-845,"-1,032","-1,038","-1,054",-813,-920,-860
CAPEX,"1,221","1,300","1,528","1,405","1,557",880,885,885
FCF,"1,721","1,070","1,271","2,059","1,776","1,360","1,530","1,710"
이자발생부채,0,0,269,556,499,,,
영업이익률,10.43,9.87,9.15,9.20,7.77,8.78,9.08,9.54
순이익률,7.38,5.10,6.82,6.39,5.58,6.41,6.66,6.98
ROE(%),12.42,8.34,11.32,10.48,9.13,10.54,10.97,11.43
ROA(%),9.42,6.31,8.43,7.68,6.65,7.70,8.02,8.43
부채비율,30.94,33.31,35.20,37.75,36.74,37.11,36.35,35.08
자본유보율,"7,060.34","7,347.08","7,687.07","7,984.10","8,271.23",,,
EPS(원),"3,772","2,710","3,859","3,739","3,395","4,088","4,465","4,934"
PER(배),28.37,37.09,24.28,22.73,21.77,17.03,15.59,14.11
BPS(원),"35,724","37,335","39,266","40,939","42,676","44,523","46,998","50,000"
PBR(배),3.00,2.69,2.39,2.08,1.73,1.56,1.48,1.39
현금DPS(원),"2,500","2,500","2,500","2,500","2,500","2,533","2,533","2,550"
현금배당수익률,2.34,2.49,2.67,2.94,3.38,3.64,3.64,3.66
현금배당성향(%),58.97,82.09,57.64,59.49,65.53,61.97,56.74,51.68
발행주식수(보통주),"37,999,178","37,999,178","37,999,178","37,999,178","37,999,178",,,
