주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"19,648","19,840","20,223","16,981","20,794","23,891","25,019","27,785"
영업이익,"1,854","1,824","2,074",394,44,320,"1,018","1,560"
영업이익(발표기준),"1,854","1,824","2,074",394,44,,,
세전계속사업이익,"1,667","1,486","1,843",-127,165,227,901,"1,445"
당기순이익,"1,254","1,035","1,185",-166,46,150,505,990
  당기순이익(지배),"1,250","1,036","1,182",-168,48,174,676,"1,160"
  당기순이익(비지배),4,0,2,2,-2,,,
자산총계,"27,940","32,423","34,361","35,411","38,234","38,830","39,605","43,280"
부채총계,"14,551","18,141","18,781","19,941","22,235","23,080","23,455","26,330"
자본총계,"13,389","14,282","15,579","15,470","15,999","15,750","16,150","16,950"
  자본총계(지배),"13,355","14,248","15,543","15,431","15,957","15,710","16,105","16,910"
  자본총계(비지배),34,34,36,38,43,,,
자본금,541,541,541,541,541,540,540,540
영업활동현금흐름,"2,551","1,570","2,915","1,791","2,652","2,230","2,335","2,850"
투자활동현금흐름,"-2,897","-4,516","-2,512","-2,267","-1,305","-2,145","-1,950","-1,880"
재무활동현금흐름,260,"3,148",-284,"1,307",-806,300,60,460
CAPEX,"2,839","4,844","2,221","1,174","1,152","2,015","2,015","2,030"
FCF,-288,"-3,274",693,617,"1,499",770,"1,090",
이자발생부채,"8,631","11,950","12,227","13,980","13,791",,,
영업이익률,9.44,9.20,10.25,2.32,0.21,1.34,4.07,5.62
순이익률,6.38,5.22,5.86,-0.98,0.22,0.63,2.02,3.56
ROE(%),9.88,7.50,7.94,-1.08,0.31,1.10,4.25,7.03
ROA(%),4.63,3.43,3.55,-0.48,0.13,0.39,1.29,2.39
부채비율,108.67,127.02,120.56,128.91,138.97,146.54,145.23,155.34
자본유보율,"2,349.70","2,512.29","2,732.18","2,714.44","2,752.95",,,
EPS(원),"1,208",994,"1,135",-161,46,167,649,"1,114"
PER(배),9.77,9.22,8.04,N/A,147.46,38.78,10.01,5.83
BPS(원),"13,009","13,878","15,139","15,031","15,543","15,302","15,687","16,471"
PBR(배),0.91,0.66,0.60,0.41,0.44,0.42,0.41,0.39
현금DPS(원),100,100,105,105,105,102,102,105
현금배당수익률,0.85,1.09,1.15,1.70,1.54,1.58,1.58,1.62
현금배당성향(%),8.24,9.94,9.14,-64.34,224.43,57.42,14.82,8.84
발행주식수(보통주),"97,667,877","97,667,877","97,667,877","97,667,877","97,667,877",,,
